T-R Separation Distance (m)	Received Power (dBm)	Path Loss (dB)	RMS Delay Spread (ns)	
           60.0	                     -101	            131.1	            11.4
           60.0	                      -75	            105.4	            34.1
           60.0	                      -95	            125.2	            18.0
           60.0	                      -85	            114.6	            25.9
           60.0	                      -76	            105.9	            22.1
           60.0	                      -94	            124.4	            53.0
           60.0	                      -83	            112.8	            34.0
           60.0	                      -91	            120.7	            19.4
           60.0	                      -83	            113.2	             6.3
           60.0	                      -75	            105.3	            19.8
           60.0	                      -91	            121.2	            33.5
           60.0	                      -95	            124.9	            40.6
           60.0	                      -87	            117.5	            18.2
           60.0	                      -88	            117.7	            36.2
           60.0	                      -85	            115.4	            60.4
           60.0	                      -80	            109.6	            59.0
           60.0	                      -88	            117.6	            44.7
           60.0	                      -89	            119.0	            30.3
           60.0	                      -89	            119.0	            20.5
           60.0	                     -104	            134.4	            27.9
           60.0	                      -95	            125.0	            39.4
           60.0	                      -86	            116.2	            37.3
           60.0	                      -81	            111.2	            32.5
           60.0	                      -82	            111.7	             0.0
           60.0	                      -89	            119.1	             0.0
           60.0	                      -91	            120.5	            10.2
           60.0	                      -82	            112.3	            14.5
           60.0	                      -88	            118.1	            53.6
           60.0	                     -102	            132.3	            28.6
           60.0	                      -92	            122.1	            15.6
           60.0	                      -84	            114.0	             8.0
           60.0	                      -81	            111.4	            50.1
           60.0	                      -85	            114.8	            20.5
           60.0	                      -87	            117.0	            40.4
           60.0	                      -84	            114.5	            14.5
           60.0	                      -86	            116.2	            48.8
           60.0	                      -91	            120.5	            37.4
           60.0	                      -98	            128.4	            37.1
           60.0	                      -85	            115.2	            33.5
           60.0	                      -84	            113.9	            37.6
           60.0	                      -84	            114.1	            35.8
           60.0	                      -87	            116.7	            61.1
           60.0	                      -88	            117.8	            14.6
           60.0	                      -80	            109.7	            29.0
           60.0	                      -82	            112.3	            52.2
           60.0	                      -85	            114.6	            24.8
           60.0	                      -87	            117.2	            41.2
           60.0	                      -81	            110.6	             9.9
           60.0	                      -93	            123.2	             0.0
           60.0	                      -84	            113.5	            37.3
           60.0	                      -76	            106.2	            28.4
           60.0	                      -82	            112.1	            30.9
           60.0	                      -98	            128.2	            10.6
           60.0	                      -87	            116.7	            18.0
           60.0	                      -91	            120.9	            13.3
           60.0	                      -93	            123.0	            47.5
           60.0	                      -89	            118.6	            38.4
           60.0	                      -92	            122.4	             5.8
           60.0	                     -101	            131.3	            14.6
           60.0	                      -93	            123.5	            30.7
           60.0	                      -93	            123.5	            39.8
           60.0	                      -98	            128.4	            41.3
           60.0	                      -88	            117.7	            56.3
           60.0	                      -90	            120.5	            40.1
           60.0	                      -79	            109.2	             7.8
           60.0	                      -79	            108.9	            33.4
           60.0	                      -94	            124.2	            14.5
           60.0	                      -93	            123.4	            25.6
           60.0	                      -70	             99.6	            21.1
           60.0	                      -75	            105.1	            24.3
           60.0	                      -91	            120.8	            10.7
           60.0	                      -83	            112.7	            51.5
           60.0	                      -88	            117.9	            29.9
           60.0	                      -84	            113.6	            10.4
           60.0	                      -98	            127.9	             9.5
           60.0	                      -81	            110.5	            29.1
           60.0	                      -92	            121.7	            17.0
           60.0	                      -82	            111.9	            43.8
           60.0	                      -83	            113.1	            45.4
           60.0	                      -97	            127.3	            28.4
           60.0	                      -88	            118.2	            23.6
           60.0	                      -89	            119.1	            37.3
           60.0	                     -106	            136.4	            16.6
           60.0	                      -75	            105.1	            25.8
           60.0	                      -98	            128.2	            37.5
           60.0	                      -84	            113.7	            48.3
           60.0	                      -87	            117.5	             0.0
           60.0	                      -86	            115.8	            35.6
           60.0	                      -83	            113.0	            31.9
           60.0	                      -86	            116.1	            27.5
           60.0	                      -92	            122.5	            48.5
           60.0	                      -92	            122.1	            40.3
           60.0	                      -83	            112.8	             0.0
           60.0	                      -84	            113.5	            40.8
           60.0	                      -74	            104.4	            29.5
           60.0	                      -97	            126.8	            22.2
           60.0	                      -95	            124.5	            13.6
           60.0	                      -80	            109.6	            15.3
           60.0	                      -93	            122.6	            33.7
           60.0	                      -88	            117.7	             9.2
           60.0	                      -90	            120.5	            47.5
           60.0	                      -87	            116.7	            25.1
           60.0	                     -100	            130.1	            48.3
           60.0	                      -95	            125.2	            25.2
           60.0	                     -101	            131.0	            12.8
           60.0	                      -88	            117.7	            44.9
           60.0	                      -87	            117.0	            62.9
           60.0	                      -91	            121.5	            39.9
           60.0	                      -98	            128.2	             0.0
           60.0	                      -84	            114.1	            19.3
           60.0	                      -81	            110.7	            13.2
           60.0	                      -93	            122.8	            12.1
           60.0	                      -96	            126.2	            55.2
           60.0	                      -91	            120.6	            30.6
           60.0	                      -86	            116.0	            31.3
           60.0	                      -96	            125.5	            44.9
           60.0	                      -87	            116.9	            25.8
           60.0	                      -87	            116.7	            22.9
           60.0	                      -78	            108.3	            36.2
           60.0	                      -83	            112.5	            47.6
           60.0	                      -93	            122.9	            20.0
           60.0	                      -90	            120.5	            19.9
           60.0	                      -84	            113.8	            12.2
           60.0	                      -93	            122.9	            71.9
