-0.0093895-0.037653i,0.013833+0.044659i,-0.020735-0.055069i,0.032651+0.072345i,-0.057698-0.10746i,0.14501+0.22679i,0.47759+0.61256i,-0.066844-0.056083i,-0.15866-0.25167i,-0.14655-0.16239i,0.089528+0.086487i,-0.18913+0.033746i,0.075079+0.042381i
-0.03019+0.015593i,0.038033-0.01808i,-0.049938+0.021599i,0.070098-0.027092i,-0.11184+0.037426i,0.256-0.069213i,0.77021-0.13107i,-0.095744-0.015994i,-0.24575+0.18177i,-0.2012+0.072833i,0.11407-0.029239i,-0.23725+0.006728i,0.084929-0.0067771i
-0.0080072+0.052162i,0.0092368-0.060962i,-0.011171+0.073898i,0.014657-0.09515i,-0.022607+0.13796i,0.054022-0.28245i,0.20476-0.73124i,-0.060273+0.059705i,0.15764+0.29984i,0.04709+0.17616i,-0.022742-0.086322i,-0.08608-0.052638i,-0.0090733-0.030666i
0.023971+0.027781i,-0.030458-0.032036i,0.040286+0.038492i,-0.056854-0.049588i,0.09087+0.073394i,-0.2067-0.16078i,-0.60219-0.5097i,0.058711+0.10483i,0.2977-0.13702i,0.20696-0.0099755i,-0.11799-0.0031092i,0.089788-0.1475i,-0.079838+0.010059i
0.0214-0.026565i,-0.02709+0.03147i,0.035999-0.038559i,-0.051682+0.049888i,0.085814-0.07174i,-0.21141+0.14073i,-0.7445+0.30401i,0.15847+0.017538i,-0.13276-0.3597i,0.047835-0.16372i,-0.044154+0.073077i,0.14079-0.15745i,-0.044843+0.039881i
-0.0097697-0.046087i,0.011462+0.053612i,-0.01373-0.064881i,0.016923+0.083901i,-0.021766-0.12373i,0.030348+0.26563i,-0.03477+0.7917i,0.076938-0.13429i,-0.39043+0.059231i,-0.14993-0.039692i,0.070277+0.022592i,0.10081-0.02454i,0.028303+0.0040197i
-0.026188-0.013232i,0.032366+0.014794i,-0.041919-0.017367i,0.058511+0.022307i,-0.094066-0.034451i,0.22256+0.086362i,0.73797+0.36926i,-0.13777-0.13111i,0.03094+0.41197i,-0.08687+0.13333i,0.065657-0.056966i,0.061822+0.13198i,0.043332-0.039707i
-0.008807+0.028738i,0.012091-0.033923i,-0.01761+0.041663i,0.028102-0.054626i,-0.052936+0.081394i,0.15289-0.17468i,0.671-0.50295i,-0.20555+0.069788i,0.45544+0.060759i,0.082855+0.06746i,-0.012525-0.032749i,0.019918+0.16814i,0.0093868-0.022608i
0.016716+0.035269i,-0.019281-0.041i,0.023016+0.049841i,-0.029073-0.065368i,0.041048+0.099632i,-0.08038-0.22988i,-0.18635-0.80494i,0.0030968+0.20362i,0.13817-0.42345i,0.067983-0.10016i,-0.033153+0.041828i,-0.061483+0.092428i,-0.010424+0.02227i
0.020054+0.0068657i,-0.025094-0.0075604i,0.033229+0.0086641i,-0.048104-0.010734i,0.082004+0.015793i,-0.21364-0.037657i,-0.84078-0.15803i,0.22794+0.058889i,-0.4309-0.20556i,-0.057524-0.075357i,-0.0033284+0.037468i,-0.13056+0.0052359i,-0.010074+0.023986i
0.0018687-0.024554i,-0.004283+0.029102i,0.0084267-0.036235i,-0.016408+0.048956i,0.035401-0.077405i,-0.11169+0.18664i,-0.51265+0.68596i,0.1558-0.1803i,-0.31074+0.37015i,-0.035369+0.076956i,-0.011352-0.025403i,-0.10803-0.058487i,-0.018554-0.0083479i
