0.049679+0.018389i,-0.059615-0.025504i,0.077386+0.039367i,-0.12161-0.077225i,0.57557+0.50452i,0.086849+0.14409i,0.026853-0.089294i,0.1712-0.025055i,-0.047467-0.01662i,0.048522+0.018332i,0.53239-0.049294i,-0.10443+0.041805i,0.19296-0.14144i
0.055682-0.025163i,-0.06782+0.029504i,0.090013-0.036969i,-0.1468+0.054529i,0.7495-0.22148i,0.14358-0.012496i,-0.022203-0.050886i,0.11259-0.14875i,-0.03795+0.037345i,0.036396-0.038173i,0.31247-0.42722i,-0.043016+0.092219i,0.0085756-0.21974i
0.022145-0.054747i,-0.025672+0.067181i,0.031955-0.089863i,-0.047871+0.14745i,0.21866-0.74984i,0.037718-0.13503i,-0.013381-0.005903i,-0.024562-0.20363i,0.014454+0.068187i,-0.019354-0.067513i,-0.1138-0.49699i,0.028503+0.072i,-0.15317-0.11086i
-0.021369-0.043676i,0.029351+0.053208i,-0.04451-0.070525i,0.084306+0.11438i,-0.51005-0.57286i,-0.11839-0.10093i,0.020419-0.0051082i,-0.16771-0.14623i,0.075642+0.046508i,-0.081132-0.041333i,-0.43568-0.21634i,0.051291+0.0066627i,-0.14994+0.078861i
-0.036838-0.0024059i,0.048574+0.00075747i,-0.070629+0.0028322i,0.12807-0.013461i,-0.73983+0.13963i,-0.16251+0.054166i,0.021727-0.040566i,-0.23123-0.0035203i,0.098688-0.016831i,-0.10026+0.026457i,-0.42579+0.20574i,0.014007-0.044954i,0.0068626+0.17593i
-0.012959+0.032126i,0.017429-0.042791i,-0.025639+0.063139i,0.046271-0.11714i,-0.25471+0.70483i,-0.04371+0.17096i,-0.026319-0.055746i,-0.17772+0.14055i,0.063458-0.075617i,-0.057301+0.085865i,-0.099217+0.46541i,-0.04372-0.04344i,0.16815+0.097534i
0.02573+0.031652i,-0.032431-0.041i,0.045325+0.0585i,-0.080294-0.10391i,0.47451+0.58559i,0.12467+0.12329i,-0.077-0.0078891i,-0.045009+0.20323i,-0.004324-0.084933i,0.018414+0.088989i,0.30453+0.38229i,-0.070978+0.00063997i,0.18626-0.076705i
0.043821+0.002114i,-0.055059-0.0016177i,0.076294+0.0001151i,-0.13249+0.0057252i,0.74708-0.093531i,0.17297-0.055108i,-0.064114+0.080029i,0.083401+0.15968i,-0.05274-0.038661i,0.068913+0.030037i,0.49757+0.023394i,-0.050382+0.042293i,0.049375-0.18173i
0.029022-0.024591i,-0.034336+0.033657i,0.043846-0.051593i,-0.0675+0.10135i,0.30897-0.67084i,0.041012-0.19779i,0.028302+0.13171i,0.13978+0.05328i,-0.04636+0.025064i,0.053516-0.046993i,0.34794-0.35131i,-0.0086068+0.04576i,-0.11067-0.12046i
0.0019141-0.023368i,0.0027819+0.031576i,-0.012874-0.04769i,0.042862+0.0919i,-0.4053-0.5902i,-0.15837-0.16314i,0.13934+0.086614i,0.11488-0.045291i,0.0046306+0.056033i,-0.016718-0.081881i,-0.032152-0.47698i,0.013391+0.014927i,-0.14266+0.047622i
-0.0071194-9.1298e-05i,0.015809-0.00062848i,-0.033877+0.0021099i,0.085981-0.0064829i,-0.69804+0.06167i,-0.24156+0.027787i,0.17766-0.037968i,0.050065-0.092575i,0.054346+0.034346i,-0.085923-0.047191i,-0.37158-0.26915i,-0.00029895-0.015848i,-0.016937+0.16343i
