-0.040736+0.028765i,0.041374-0.038019i,-0.036739+0.062533i,-0.21675-0.6792i,-0.096272-0.03384i,0.099812-0.0035476i,-0.14431+0.053959i,0.068427+0.054187i,-0.15447-0.013877i,0.50655-0.0021792i,0.25151-0.0057787i,-0.071464+0.0037421i,0.0065357-0.24794i
0.025376-0.042782i,-0.033834+0.050331i,0.056221-0.067229i,-0.61596+0.43773i,-0.030237-0.014103i,-0.0053319+0.03502i,0.059206-0.025125i,0.059283+0.13589i,-0.012125-0.1687i,-0.030905+0.5108i,-0.036916+0.24603i,0.018819-0.069746i,-0.1405+0.235i
0.013636-0.038854i,-0.010399+0.047046i,-0.003182-0.067356i,0.45953+0.5525i,0.085862+0.0051692i,-0.076224+0.027441i,0.10504-0.08242i,-0.055684-0.049445i,0.12808+0.01244i,-0.46806-0.068267i,-0.27664-0.10115i,0.099093+0.078846i,0.17144-0.18096i
-0.015222+0.016191i,0.021661-0.024649i,-0.038156+0.046594i,0.43204-0.58957i,0.01888-0.038307i,0.011046+0.0095135i,-0.070275-0.00822i,-0.061586-0.067587i,-0.0015244+0.10604i,0.12088-0.4319i,0.11271-0.29067i,-0.046067+0.121i,-0.21807-0.13592i
0.028803+0.0012753i,-0.036134-0.0050725i,0.057585+0.016022i,-0.65812-0.3037i,-0.047876-0.029069i,0.025676+0.0086842i,-0.035785+0.042565i,0.013864+0.11085i,-0.065637-0.086002i,0.37147+0.21918i,0.33106+0.10797i,-0.18833-0.043648i,0.33176+0.22691i
0.030797-0.015861i,-0.035769+0.02567i,0.045767-0.051538i,-0.22424+0.69826i,0.029333+0.049872i,-0.052292-0.014397i,0.11479-0.00011381i,0.021032+0.039382i,0.055816-0.085058i,-0.24583+0.38255i,-0.14446+0.26346i,0.049528-0.098706i,-0.039046-0.2023i
-0.018911+0.041494i,0.026669-0.043026i,-0.050136+0.04337i,0.71316+0.0087997i,0.065578+0.056362i,-0.038582-0.051347i,0.035242+0.0084388i,-0.048638-0.17624i,0.084831+0.16771i,-0.35093-0.37549i,-0.26009-0.085654i,0.13341-0.037029i,-0.2548+0.2884i
-0.014932+0.046837i,0.016525-0.058262i,-0.017369+0.08637i,-0.044235-0.75448i,-0.040803-0.014452i,0.052639-0.025342i,-0.11205+0.053488i,-0.02261-0.055514i,-0.060316+0.10734i,0.30747-0.36164i,0.22421-0.17846i,-0.11023+0.045105i,0.32696-0.089761i
-0.0035148-0.030219i,-0.0030094+0.034269i,0.024674-0.042931i,-0.66295+0.22973i,-0.088258-0.014946i,0.061409+0.021208i,-0.046933+0.016103i,0.097068+0.14987i,-0.11846-0.15048i,0.33506+0.41197i,0.14735+0.17518i,-0.027695-0.030634i,-0.24285-0.084318i
-0.024648-0.047048i,0.02752+0.057414i,-0.036836-0.08282i,0.33137+0.68395i,0.021806+0.0071237i,-0.020716+0.030339i,0.072277-0.067444i,0.05438+0.029236i,0.029141-0.081353i,-0.32103+0.27632i,-0.32187+0.1334i,0.17721-0.036923i,-0.0022111+0.20939i
-0.018439+0.015638i,0.025265-0.021633i,-0.044973+0.03742i,0.5784-0.43877i,0.04405-0.028209i,-0.016864+0.012016i,-0.012151-0.04218i,-0.066187-0.11148i,0.064473+0.12044i,-0.2108-0.42081i,-0.13364-0.26577i,0.05851+0.11454i,-0.047264-0.32761i
0.022805+0.01484i,-0.027873-0.021676i,0.044015+0.039882i,-0.53071-0.49452i,-0.047437-0.029963i,0.037146+0.00081531i,-0.081081+0.040562i,-0.026684+0.037798i,-0.056245+0.0097678i,0.38128-0.13421i,0.33858-0.12338i,-0.17667+0.056183i,0.0034596+0.16448i
0.035057-0.049352i,-0.041107+0.05923i,0.056078-0.083128i,-0.41496+0.65019i,0.0020727+0.0042976i,-0.025899+0.023975i,0.066805-0.0075543i,0.035857+0.14597i,-0.011974-0.17074i,0.081384+0.505i,0.10685+0.23107i,-0.07883-0.048521i,0.31729-0.084494i
0.014393-0.0067727i,-0.0094291+0.010535i,-0.0095955-0.020665i,0.62299+0.2713i,0.10734+0.016387i,-0.09236+0.0030139i,0.12909-0.047665i,-0.049615-0.064456i,0.13034+0.022438i,-0.47468+0.026174i,-0.28462+0.067725i,0.12012-0.046231i,-0.32873-0.033219i
-0.0025858+0.06994i,0.0045984-0.082056i,-0.010118+0.11056i,0.14463-0.76904i,0.0084382+0.011706i,0.0051018-0.04757i,-0.050004+0.044154i,-0.077266-0.15753i,0.040486+0.19496i,-0.039782-0.54337i,0.032591-0.20961i,-0.043853+0.014992i,0.20064+0.25241i
-0.020581+0.017343i,0.015204-0.018645i,0.0054308+0.020625i,-0.66686-0.036038i,-0.11942+0.0243i,0.10091-0.033618i,-0.12712+0.080483i,0.079257+0.056852i,-0.15209-0.020662i,0.49787+0.048162i,0.25987+0.028079i,-0.084362-0.00063214i,0.051233-0.26559i
-0.028977+0.012921i,0.026499-0.020069i,-0.015031+0.040492i,-0.36906-0.5841i,-0.086681-0.048171i,0.070528+0.017473i,-0.043006+0.026646i,0.16162+0.090384i,-0.18234-0.07165i,0.49917+0.18564i,0.2133+0.091232i,-0.046334-0.026207i,-0.030228-0.23252i
0.034821-0.049992i,-0.043131+0.060052i,0.063324-0.082709i,-0.53155+0.56819i,-0.0042484-0.018342i,-0.028769+0.056843i,0.077867-0.11613i,0.0077428+0.029988i,0.052534-0.11815i,-0.22104+0.43558i,-0.1238+0.23424i,0.038555-0.075244i,-0.12921+0.25205i
0.0072787-0.026465i,-0.0015362+0.032058i,-0.017455-0.046708i,0.57066+0.41798i,0.078442+0.012394i,-0.050952+0.0090924i,0.0098956-0.041294i,-0.14813-0.051106i,0.1534+0.04853i,-0.43108-0.2282i,-0.20459-0.20758i,0.05417+0.12376i,0.20597-0.22548i
-0.010411+0.025314i,0.015344-0.035778i,-0.027252+0.061951i,0.29429-0.67945i,0.0089448-0.027908i,0.012654-0.015661i,-0.048936+0.081022i,-0.0056933+0.029815i,-0.052928+0.056681i,0.28189-0.33091i,0.20625-0.24361i,-0.081043+0.10309i,-0.20137-0.10998i
0.041721-0.00090741i,-0.051381-0.0003057i,0.076996+0.0049273i,-0.72908-0.15288i,-0.026765-0.022538i,-0.011141+0.016339i,0.065744-0.0025268i,0.080573+0.070033i,-0.065739-0.090112i,0.28362+0.33418i,0.25407+0.22778i,-0.15349-0.11023i,0.31802+0.27532i
0.019042-0.014592i,-0.021692+0.025088i,0.025688-0.052513i,-0.058928+0.72297i,0.030174+0.048096i,-0.040464-0.0027818i,0.063924-0.065652i,-0.045876-0.061845i,0.10179-0.020032i,-0.38088+0.23949i,-0.22777+0.20743i,0.084984-0.085967i,-0.076518-0.20429i
-0.039847+0.048007i,0.04972-0.052591i,-0.075891+0.060038i,0.73889-0.15633i,0.028714+0.055887i,0.010986-0.068021i,-0.070276+0.076223i,-0.081785-0.11827i,0.055432+0.16438i,-0.21216-0.46646i,-0.18673-0.18377i,0.11482+0.016449i,-0.24081+0.25061i
-0.011597+0.043014i,0.011033-0.054133i,-0.0059816+0.081406i,-0.19954-0.71997i,-0.049326-0.011628i,0.046492-0.033009i,-0.054495+0.10239i,0.072766+0.031881i,-0.1214+0.042968i,0.43469-0.19774i,0.26557-0.10099i,-0.1131+0.021295i,0.31348-0.090263i
0.0095758-0.045388i,-0.017143+0.052882i,0.039091-0.068882i,-0.62515+0.39404i,-0.055935-0.027607i,0.021245+0.052855i,0.035855-0.077583i,0.1166+0.085801i,-0.084742-0.14811i,0.17808+0.48307i,0.053433+0.23733i,0.0035929-0.058607i,-0.2597-0.051303i
-0.026368-0.051556i,0.031374+0.061239i,-0.046202-0.084178i,0.46518+0.60708i,0.027393-0.0096829i,-0.010326+0.047704i,0.00056457-0.11198i,-0.052174-0.022838i,0.089146-0.039063i,-0.41971+0.11975i,-0.33508+0.016312i,0.16558+0.022255i,0.027641+0.15094i
-0.021569+0.025015i,0.028261-0.033846i,-0.045855+0.055674i,0.48179-0.56667i,0.02044-0.018739i,0.0092944-0.015682i,-0.064984+0.053536i,-0.073424-0.025407i,0.031015+0.098057i,-0.046796-0.44554i,-0.020232-0.31358i,0.012101+0.14177i,-0.032576-0.3489i
0.035109+0.015602i,-0.042691-0.020899i,0.064024+0.034704i,-0.64043-0.37193i,-0.033387-0.01544i,0.0061515-0.0092738i,0.018564+0.06115i,0.065482+0.069662i,-0.090852-0.02769i,0.42331+0.028291i,0.34854+0.0040672i,-0.18026-0.0088208i,0.0191+0.22689i
0.043457-0.050101i,-0.049037+0.061852i,0.060703-0.08976i,-0.29059+0.72362i,0.033633+0.00037988i,-0.05603+0.043806i,0.10747-0.097113i,0.007947+0.040237i,0.043453-0.12675i,-0.10703+0.47905i,0.0071811+0.2655i,-0.048545-0.077355i,0.30178-0.07054i
0.00019856+0.0089831i,0.0069894-0.008078i,-0.029856+0.0044481i,0.68619+0.10406i,0.08385+0.02186i,-0.052965-0.012291i,0.018702-0.024468i,-0.13428-0.094234i,0.15105+0.074616i,-0.47275-0.15747i,-0.27409-0.037775i,0.1191-0.0080205i,-0.33744-0.043496i
-0.016046+0.074981i,0.017404-0.088519i,-0.018971+0.11934i,0.0099157-0.79412i,-0.028419+0.026556i,0.037086-0.075922i,-0.075924+0.14096i,-0.015915-0.058398i,-0.033775+0.1535i,0.16317-0.49162i,0.11383-0.2035i,-0.056641+0.017001i,0.20484+0.24311i
-0.014093-0.0026515i,0.0074337+0.0046786i,0.014823-0.0099397i,-0.66649+0.14231i,-0.098619+0.0119i,0.067099-0.0078753i,-0.025095+0.030015i,0.16507+0.066504i,-0.17256-0.067i,0.46839+0.22411i,0.21115+0.12795i,-0.057984-0.034912i,0.018585-0.24671i
-0.020342-0.0099326i,0.015782+0.0064718i,0.00060214+0.0070754i,-0.49468-0.44875i,-0.086211-0.077795i,0.061579+0.067846i,-0.020263-0.098471i,0.16152+0.029383i,-0.16231-0.090369i,0.40809+0.32931i,0.15119+0.18725i,-0.018843-0.060997i,-0.065037-0.21187i
0.03537-0.045569i,-0.041849+0.056094i,0.057043-0.081217i,-0.40849+0.65507i,0.0036307+0.00062591i,-0.020751+0.040185i,0.002946-0.098891i,-0.12058+0.0036606i,0.13617-0.07982i,-0.39575+0.31539i,-0.18041+0.17539i,0.042962-0.060153i,-0.10747+0.2562i
0.0078813-0.0073607i,-0.0011833+0.0091485i,-0.02044-0.016076i,0.64105+0.25355i,0.086252+0.032887i,-0.055598-0.03301i,0.018151+0.075354i,-0.13086+0.020714i,0.12857+0.053414i,-0.31631-0.33918i,-0.11263-0.29672i,0.0071346+0.16258i,0.2394-0.26434i
-0.00036644+0.025166i,0.0026384-0.035459i,-0.0080694+0.062196i,0.13344-0.7209i,0.011278-0.038822i,-0.0074475-0.0018805i,0.038116+0.049243i,0.10337+0.023879i,-0.11456+0.033366i,0.41311-0.20306i,0.26146-0.14578i,-0.096089+0.057783i,-0.19872-0.063947i
0.041669-0.005557i,-0.051584+0.0074758i,0.077823-0.010133i,-0.74664+0.010177i,-0.029477-0.022113i,-0.0067418+0.036014i,0.041483-0.091281i,0.031509-0.021762i,-0.020512-0.066617i,0.13257+0.39141i,0.15708+0.32211i,-0.11134-0.16824i,0.29665+0.31765i
0.0022371-0.0053953i,-0.0018108+0.014346i,-0.0012562-0.039499i,0.11614+0.69765i,0.020436+0.066666i,-0.012788-0.030503i,-0.026437-0.0022215i,-0.13323-0.044551i,0.14216+0.0093513i,-0.46617+0.086051i,-0.27434+0.10261i,0.10538-0.043756i,-0.10456-0.22857i
-0.047519+0.051046i,0.057308-0.058442i,-0.082448+0.072655i,0.70981-0.31292i,0.016996+0.052069i,0.016834-0.08217i,-0.04188+0.15094i,0.0074517-0.03232i,-0.019831+0.13587i,-0.019467-0.49088i,-0.10368-0.25276i,0.094588+0.063039i,-0.22399+0.21335i
-0.0055144+0.028012i,0.0025776-0.036453i,0.0084338+0.058932i,-0.34844-0.63324i,-0.051815-0.033476i,0.033666+0.0034881i,0.011473+0.014833i,0.15735+0.00021907i,-0.16421+0.0135i,0.4979-0.031476i,0.27012+0.011123i,-0.10267-0.022125i,0.29158-0.076896i
