-0.028998+0.0063591i,0.032245-0.0066668i,-0.036708+0.0069464i,0.043483-0.0070778i,-0.055759+0.0065957i,0.088629-0.0027788i,-0.96475-0.17393i,-0.054189-0.047748i,0.028076+0.082554i,0.084958+0.14844i,-0.052849-0.038317i,0.071444+0.038293i,0.021412+0.086914i
0.013248+0.020013i,-0.014459-0.022703i,0.016006+0.026528i,-0.018102-0.032565i,0.021259+0.043995i,-0.027383-0.076035i,0.11955+0.96454i,-0.027991+0.074646i,0.06988-0.059797i,0.12174-0.10996i,-0.023486+0.048374i,0.016349-0.06555i,0.065488-0.068235i
0.013102-0.013585i,-0.015195+0.015293i,0.01826-0.017638i,-0.023262+0.021142i,0.033083-0.027242i,-0.061689+0.042294i,0.88231-0.39448i,0.082571-0.0025256i,-0.080364-0.042511i,-0.13392-0.096669i,0.0476+0.018584i,-0.061639-0.0058396i,-0.092967-0.019674i
-0.012563-0.011325i,0.014613+0.012969i,-0.017544-0.015371i,0.022142+0.019298i,-0.030638-0.027081i,0.05327+0.050168i,-0.63357-0.72904i,-0.03277-0.073473i,-0.011798+0.083944i,-0.064904+0.15983i,0.012805-0.055882i,0.0045689+0.065866i,0.029442+0.085861i
-0.012335+0.015376i,0.013569-0.017863i,-0.015295+0.021428i,0.018015-0.027058i,-0.023299+0.037585i,0.039034-0.066211i,-0.51485+0.82255i,-0.052319+0.052027i,0.074855-0.010978i,0.18081+0.018951i,-0.067053+0.0041736i,0.071692-0.025708i,0.054927-0.060985i
0.023005+0.010464i,-0.02604-0.011047i,0.030292+0.01179i,-0.036864-0.012882i,0.048944+0.014975i,-0.081509-0.021668i,0.94591+0.25093i,0.056858+0.029972i,-0.022156-0.063746i,-0.039875-0.18439i,0.03319+0.06822i,-0.057851-0.065307i,-0.067046-0.019559i
0.0013078-0.031135i,-0.000807+0.034561i,7.0739e-05-0.039243i,0.0010565+0.046301i,-0.0029118-0.058988i,0.0065359+0.092701i,-0.045425-0.98694i,0.015644-0.052912i,-0.05943+0.027646i,-0.16165+0.099725i,0.049833-0.063544i,-0.036958+0.088543i,0.0030375+0.056199i
-0.03301+0.014463i,0.036284-0.016375i,-0.040707+0.018943i,0.047304-0.022664i,-0.059091+0.028847i,0.090471-0.043099i,-0.93294+0.34739i,-0.050376-0.010605i,0.037924+0.06213i,0.14417+0.11456i,-0.079506-0.013861i,0.10008-0.0099514i,0.045625-0.0091716i
0.030804+0.024251i,-0.034047-0.026611i,0.038319+0.029845i,-0.044412-0.034783i,0.054496+0.043906i,-0.078243-0.069291i,0.62053+0.7826i,-0.0075957+0.056218i,0.062962-0.059584i,0.056392-0.16191i,0.025843+0.070988i,-0.058638-0.08162i,-0.009929-0.047549i
0.006321-0.039821i,-0.0071367+0.043818i,0.0084211-0.049086i,-0.010717+0.056637i,0.015732-0.069293i,-0.032097+0.099907i,0.55068-0.83047i,0.068678-0.0036364i,-0.089388-0.050125i,-0.1536-0.0045242i,0.040991-0.0515i,-0.03757+0.088168i,-0.059644+0.021636i
-0.036774+0.013846i,0.040656-0.014745i,-0.045872+0.015638i,0.053549-0.016321i,-0.06689+0.016021i,0.10074-0.010349i,-0.95234-0.26624i,-0.028451-0.077888i,-0.017603+0.11509i,0.02948+0.13117i,-0.052462-0.0045769i,0.086119-0.013754i,0.052318+0.0662i
0.02786+0.02318i,-0.030106-0.026167i,0.032775+0.030377i,-0.036016-0.036936i,0.040055+0.049126i,-0.045136-0.082417i,0.035138+0.97696i,-0.072324+0.062563i,0.12263-0.029599i,0.10989-0.046027i,0.02013+0.031899i,-0.050512-0.056217i,0.04941-0.093783i
0.0059008-0.030899i,-0.0076254+0.033799i,0.010336-0.037454i,-0.015057+0.04234i,0.02484-0.049651i,-0.054376+0.06423i,0.91052-0.32083i,0.09376+0.046736i,-0.077384-0.10498i,-0.05572-0.098619i,0.0045976-0.022973i,-0.01581+0.060022i,-0.12512-0.0029722i
-0.024378+0.0071739i,0.027279-0.0066002i,-0.031152+0.0053345i,0.036751-0.0025465i,-0.046115-0.0043209i,0.06824+0.027846i,-0.56745-0.76842i,0.0061803-0.10904i,-0.066669+0.11043i,-0.094726+0.07099i,-0.0074754+0.012643i,0.045376-0.015104i,0.061463+0.12554i
0.011942+0.014529i,-0.012139-0.017107i,0.01195+0.020778i,-0.010804-0.026503i,0.0068637+0.036986i,0.0092106-0.064557i,-0.56783+0.76102i,-0.10238+0.036586i,0.12083+0.02099i,0.096884+0.086984i,0.011541-0.012452i,-0.025925-0.021803i,0.087904-0.11967i
0.0079461-0.010177i,-0.010229+0.010825i,0.013659-0.011394i,-0.019323+0.011619i,0.030352-0.01054i,-0.061305+0.0029016i,0.89237+0.32362i,0.068592+0.078027i,-0.018121-0.11174i,0.06432-0.12728i,-0.022402+0.0032527i,-0.0055163+0.02058i,-0.14869-0.023958i
-0.025619-0.004887i,0.028548+0.0056032i,-0.032608-0.0066567i,0.038829+0.0084144i,-0.050202-0.012039i,0.080839+0.023489i,-0.89682-0.38714i,-0.050558-0.049875i,0.018862+0.077044i,0.039245+0.17453i,-0.028392-0.062335i,0.037243+0.070961i,-0.028162+0.08636i
0.0027861+0.020067i,-0.0029961-0.022777i,0.0032285+0.026637i,-0.0034428-0.032739i,0.0034257+0.044283i,-0.0017004-0.076521i,-0.1024+0.96334i,-0.033002+0.071501i,0.069159-0.048753i,0.15688-0.073993i,-0.050908+0.032874i,0.055291-0.044263i,0.087631-0.023415i
0.015276-0.0039834i,-0.017649+0.0047685i,0.021102-0.0058979i,-0.026685+0.0076564i,0.037523-0.010794i,-0.068621+0.018448i,0.94605-0.1828i,0.08224+0.0037679i,-0.070571-0.045546i,-0.10785-0.13931i,0.039558+0.04826i,-0.052346-0.048471i,-0.063563-0.058248i
-0.0031811-0.015529i,0.0043927+0.017689i,-0.0062336-0.020795i,0.0092878+0.025772i,-0.015203-0.035385i,0.031449+0.063039i,-0.44927-0.85207i,-0.027968-0.075827i,-0.016085+0.076008i,-0.11425+0.14569i,0.044881-0.056027i,-0.040432+0.069628i,-0.014948+0.076197i
-0.019647+0.0063265i,0.021666-0.0081011i,-0.024438+0.010764i,0.028681-0.015153i,-0.036554+0.023672i,0.058645-0.047462i,-0.68813+0.68137i,-0.054838+0.050136i,0.066918-0.0066975i,0.18224+0.072262i,-0.078234-0.028657i,0.091389+0.018317i,0.062379-0.020247i
0.015993+0.021882i,-0.018565-0.023537i,0.022252+0.025675i,-0.028076-0.028735i,0.038994+0.034068i,-0.068823-0.048473i,0.86209+0.46114i,0.056425+0.02984i,-0.016281-0.053694i,0.011245-0.20415i,0.0047686+0.092653i,-0.021921-0.10256i,-0.034391-0.038019i
0.016232-0.028937i,-0.01701+0.03232i,0.017908-0.03697i,-0.019035+0.044008i,0.020797-0.056681i,-0.025561+0.090233i,0.18319-0.97136i,0.012316-0.050348i,-0.047627+0.016527i,-0.19854+0.059147i,0.085772-0.046939i,-0.088448+0.069962i,-0.021687+0.031143i
-0.03783-0.0011623i,0.041608+0.00052617i,-0.046672+0.00042482i,0.054137-0.001932i,-0.067236+0.004593i,0.10126-0.010712i,-0.99007+0.12339i,-0.042532-0.006937i,0.018685+0.052565i,0.12123+0.16224i,-0.080624-0.054303i,0.10584+0.046236i,0.026426+0.021145i
0.018596+0.03607i,-0.020851-0.039459i,0.023859+0.04398i,-0.028201-0.050626i,0.035431+0.062308i,-0.052335-0.092941i,0.42565+0.90791i,-0.0085461+0.043071i,0.061744-0.03303i,0.10517-0.15891i,-0.0089153+0.090428i,-0.010949-0.11208i,0.028042-0.035437i
0.022381-0.034518i,-0.024557+0.038056i,0.027541-0.042702i,-0.032101+0.049319i,0.040541-0.060277i,-0.064115+0.086226i,0.73027-0.68611i,0.054194+0.0059757i,-0.060897-0.06209i,-0.16686-0.045398i,0.072814-0.031332i,-0.085019+0.060511i,-0.060211-0.024471i
-0.039449-0.0020428i,0.043489+0.0025299i,-0.048834-0.0033911i,0.056541+0.005089i,-0.069568-0.0091022i,0.10145+0.022979i,-0.87261-0.47928i,-0.0098534-0.068324i,-0.043183+0.092658i,0.0010784+0.15301i,-0.050331-0.038694i,0.083391+0.037776i,0.0031591+0.086617i
