-0.028825+0.049636i,0.038178-0.071605i,-0.060736+0.12878i,0.22719-0.57676i,0.077848-0.26043i,-0.022003+0.11707i,0.005712-0.084709i,0.0035031+0.077766i,-0.0097797-0.095379i,-0.039381+0.63454i,-0.051468+0.030362i,0.094703-4.4147e-05i,0.22941-0.12901i
0.053765-0.044505i,-0.078004+0.05144i,0.13948-0.065863i,-0.61053+0.15857i,-0.26265+0.0029345i,0.10807+0.031815i,-0.066808-0.047231i,0.045294+0.063428i,-0.023947-0.094106i,-0.25556+0.57555i,-0.086715-0.015296i,0.099328+0.077467i,0.23278+0.036208i
-0.02899-0.049438i,0.044189+0.06901i,-0.084262-0.11715i,0.40095+0.47714i,0.19238+0.18469i,-0.091616-0.064162i,0.069701+0.028635i,-0.066344-0.0059728i,0.082276-0.022026i,-0.52514+0.35213i,-0.019527+0.016327i,-0.0017+0.050536i,0.16811+0.25152i
0.011956+0.037111i,-0.0068175-0.059724i,-0.0092198+0.1183i,0.14955-0.57435i,0.12106-0.27536i,-0.079676+0.12774i,0.075508-0.091488i,-0.083243+0.077584i,0.11116-0.075474i,-0.65297+0.18122i,0.0099151-0.05568i,-0.069918+0.095471i,-0.0065495+0.24298i
0.065401-0.00025366i,-0.090843+0.0050704i,0.15347-0.018552i,-0.62198+0.12894i,-0.23941+0.079738i,0.082469-0.045171i,-0.035948+0.038271i,0.0054885-0.037761i,0.035081+0.043115i,-0.58252-0.16472i,-0.049014+0.017524i,-0.030611-0.016126i,-0.2482+0.21418i
-0.016253-0.026112i,0.032022+0.042185i,-0.073977-0.084983i,0.40705+0.42523i,0.21755+0.21313i,-0.11169-0.10504i,0.088788+0.081538i,-0.085382-0.077241i,0.10188+0.089905i,-0.53934-0.41986i,0.01311+0.026462i,-0.076365-0.066537i,-0.26507+0.023064i
-0.026775+0.070985i,0.033467-0.096429i,-0.049758+0.15885i,0.17183-0.62493i,0.053644-0.23173i,-0.01387+0.07564i,0.0042352-0.029542i,-0.0021096-0.00015337i,0.0098761+0.038292i,-0.27083-0.53094i,-0.054546-0.033761i,0.026733-0.040479i,-0.25272-0.21657i
0.054206+0.0015138i,-0.077215+0.0039809i,0.13643-0.01972i,-0.59572+0.1513i,-0.25924+0.099609i,0.11022-0.059886i,-0.072945+0.054703i,0.057093-0.060655i,-0.048538+0.08646i,0.0012069-0.63405i,-0.062043-0.021584i,0.072199-0.050354i,-0.060029-0.29421i
-0.061331-0.045059i,0.080792+0.061744i,-0.12824-0.10405i,0.48142+0.42981i,0.16748+0.17611i,-0.049415-0.071027i,0.015139+0.046476i,0.0054328-0.040931i,-0.027161+0.056462i,0.22044-0.56621i,-0.018062-0.066701i,0.070171+0.020641i,0.16678-0.27372i
-0.015744+0.060106i,0.021614-0.08413i,-0.03556+0.14519i,0.13634-0.61404i,0.046398-0.25553i,-0.011237+0.10173i,-0.0014154-0.060535i,0.013098+0.038206i,-0.035558-0.012457i,0.41673-0.38652i,0.030436-0.10144i,0.031951+0.084566i,0.3167-0.1059i
0.052602-0.035864i,-0.075549+0.044767i,0.13414-0.066046i,-0.58675+0.22265i,-0.25542+0.064567i,0.10912-0.012452i,-0.074165-0.0019084i,0.064026+0.0082992i,-0.076853-0.0071039i,0.57455-0.19212i,0.044697-0.078363i,0.0034144+0.10111i,0.27796+0.11505i
-0.042402-0.029601i,0.061191+0.045486i,-0.10898-0.085832i,0.47546+0.39507i,0.20354+0.17807i,-0.082679-0.076552i,0.049072+0.049521i,-0.028371-0.036041i,-0.0021015+0.026301i,0.54876-0.0024276i,0.12139+0.0083311i,-0.091781+0.031911i,0.15175+0.31978i
0.00083234+0.051387i,0.0027696-0.075494i,-0.012488+0.13689i,0.089293-0.60957i,0.053666-0.26851i,-0.02806+0.11474i,0.019986-0.076227i,-0.012209+0.061305i,-0.0080684-0.061594i,0.49441+0.29214i,0.11818-0.00079448i,-0.1173+0.034909i,-0.073659+0.27576i
0.043136-0.010457i,-0.065516+0.019116i,0.12297-0.041761i,-0.56765+0.21831i,-0.25966+0.11003i,0.11546-0.051979i,-0.079984+0.035759i,0.067331-0.024788i,-0.071941+0.0047564i,0.41382+0.41063i,0.030634+0.10365i,-0.047708-0.079867i,-0.3024+0.18395i
-0.043488-0.032158i,0.063344+0.047062i,-0.11334-0.085036i,0.49445+0.37648i,0.21086+0.16352i,-0.08543-0.067326i,0.051581+0.040361i,-0.033952-0.02316i,0.018201-0.004124i,0.13766+0.52734i,0.046802+0.1217i,-0.059281-0.11281i,-0.27894-0.045537i
-0.023311+0.050803i,0.027086-0.074668i,-0.035281+0.13597i,0.090955-0.61112i,0.0086166-0.27366i,0.010756+0.12016i,-0.017088-0.083466i,0.020817+0.072536i,-0.021983-0.085156i,-0.049529+0.61499i,-0.049856+0.06016i,0.045589-0.064556i,-0.19672-0.27617i
-0.041571+0.030956i,0.05983-0.046144i,-0.10629+0.08621i,0.46395-0.40301i,0.20068-0.1906i,-0.084605+0.089772i,0.056168-0.067689i,-0.046872+0.063686i,0.055088-0.076599i,-0.46162+0.42889i,-0.064436-0.0019434i,0.081351+0.03009i,0.27222-0.10418i
