-0.054493-0.024471i,0.058284+0.026012i,-0.063365-0.027907i,0.072722+0.030669i,-0.96702-0.16181i,0.057173+0.033085i,-0.069958-0.04168i,0.017819-0.088419i,-0.070617-0.024256i,0.070768+0.028738i,0.0002252-0.0081945i,0.17126+0.063428i,-0.15948-0.059579i
0.059928-0.010985i,-0.064009+0.011627i,0.069432-0.012231i,-0.079205+0.012327i,0.96903+0.14629i,-0.065493+0.020337i,0.081139-0.024152i,0.029038-0.06051i,0.073022-0.011863i,-0.075424+0.014075i,0.0046888+0.00528i,-0.17826+0.044319i,0.16626-0.042608i
-0.045255+0.045698i,0.048075-0.048031i,-0.051965+0.050456i,0.059764-0.052427i,-0.94071-0.13506i,0.039121-0.066133i,-0.043213+0.072757i,0.15664+0.019174i,-0.068546+0.063577i,0.063691-0.065613i,-0.013067+0.010648i,0.12976-0.14787i,-0.11989+0.14077i
0.012308-0.068901i,-0.013436+0.071802i,0.015484-0.074669i,-0.021272+0.076725i,0.89286+0.14193i,0.003218+0.089266i,-0.00012853-0.087096i,-0.071359+0.21831i,0.013831-0.11588i,-0.01084+0.11005i,-0.0008833-0.035002i,-0.021302+0.21353i,0.016656-0.20262i
0.033728+0.06997i,-0.034412-0.072764i,0.034219+0.075517i,-0.030249-0.0774i,-0.83153-0.17168i,-0.056058-0.091774i,0.0469+0.092794i,-0.18678-0.13714i,0.072348+0.10661i,-0.06785-0.10363i,0.035632+0.035808i,-0.11506-0.19813i,0.11334+0.18737i
-0.076848-0.037234i,0.079492+0.038668i,-0.081507-0.040012i,0.080118+0.040428i,0.76916+0.23993i,0.11284+0.054871i,-0.11202-0.061405i,0.1251-0.081448i,-0.1213-0.040478i,0.12092+0.043386i,-0.05892-0.005112i,0.21582+0.09747i,-0.20962-0.0896i
0.087625-0.022713i,-0.090819+0.024149i,0.093523-0.026059i,-0.093082+0.029503i,-0.74436-0.34423i,-0.12922+0.024517i,0.13554-0.029472i,0.0032901+0.010158i,0.1205-0.031335i,-0.12426+0.034755i,0.052265-0.035367i,-0.23448+0.045913i,0.22514-0.050218i
-0.052158+0.075043i,0.053504-0.078864i,-0.05408+0.083457i,0.051133-0.090064i,0.77803+0.43787i,0.078717-0.092279i,-0.073921+0.10561i,0.12765+0.022983i,-0.084861+0.0953i,0.079938-0.1022i,-0.016727+0.064209i,0.16143-0.17366i,-0.1497+0.17249i
-0.0072304-0.087695i,0.008515+0.09178i,-0.01083-0.096549i,0.016954+0.10321i,-0.83722-0.47947i,-0.002063+0.10169i,-0.0095277-0.10629i,-0.10774+0.19322i,0.0044304-0.13111i,0.0043707+0.12846i,-0.037354-0.059802i,-0.022447+0.22928i,0.012069-0.22055i
0.055694+0.059929i,-0.058792-0.062889i,0.062926+0.066445i,-0.070715-0.071871i,0.87869+0.47522i,-0.053387-0.066028i,0.058076+0.068083i,-0.16852-0.17235i,0.086155+0.091479i,-0.086895-0.085023i,0.075365+0.0090824i,-0.118-0.18266i,0.12197+0.16834i
-0.073711-0.011596i,0.077801+0.01282i,-0.08302-0.014648i,0.091959+0.018555i,-0.8867-0.44877i,0.078152+0.010635i,-0.085383-0.019545i,0.16729-0.10304i,-0.11031+2.3777e-05i,0.10952-0.0012743i,-0.058857+0.057559i,0.19+0.063856i,-0.18551-0.048714i
0.058046-0.034317i,-0.061925+0.035357i,0.067027-0.036022i,-0.076007+0.034815i,0.85577+0.41972i,-0.065348+0.050987i,0.080939-0.048681i,0.050086+0.097321i,0.068633-0.06228i,-0.071212+0.066598i,-0.0010942-0.087596i,-0.17526+0.059431i,0.16287-0.070975i
-0.020104+0.057491i,0.022109-0.060096i,-0.025068+0.062563i,0.031483-0.063432i,-0.79164-0.41527i,0.01414-0.08768i,-0.021439+0.095571i,0.0086319+0.043897i,-0.022067+0.081494i,0.016869-0.09006i,0.057311+0.069245i,0.10406-0.14327i,-0.086092+0.14675i
-0.017049-0.053178i,0.017211+0.055525i,-0.016749-0.057585i,0.013338+0.057705i,0.72569+0.44853i,0.038755+0.079381i,-0.041753-0.079766i,-0.1012+0.09932i,-0.022053-0.089454i,0.034166+0.088306i,-0.086073-0.028142i,-0.0073674+0.17746i,-0.0102-0.16976i
0.040185+0.035868i,-0.041473-0.03712i,0.042157+0.037864i,-0.039871-0.03627i,-0.68005-0.49785i,-0.064857-0.053532i,0.061634+0.046659i,-0.11109-0.18484i,0.076248+0.070946i,-0.080356-0.061438i,0.088877-0.01813i,-0.091719-0.1575i,0.10145+0.14104i
-0.05495-0.015352i,0.056932+0.015574i,-0.058339-0.015268i,0.056823+0.012623i,0.64323+0.54718i,0.081738+0.030861i,-0.0762-0.030914i,0.20311-0.045478i,-0.10387-0.015584i,0.10185+0.010852i,-0.065204+0.058478i,0.16378+0.087722i,-0.16247-0.069158i
-0.051875-0.014569i,0.055287+0.016021i,-0.059748-0.018212i,0.067655+0.022975i,-0.79527-0.55829i,0.054974+0.012818i,-0.063202-0.023461i,0.087886-0.11832i,-0.076287-0.0016442i,0.075184+0.002152i,-0.015802+0.044738i,0.16205+0.057278i,-0.15443-0.042766i
0.049787-0.016489i,-0.053301+0.016952i,0.05794-0.016934i,-0.066127+0.014631i,0.77526+0.54267i,-0.056691+0.033332i,0.071627-0.032119i,0.067168+0.020746i,0.056729-0.033689i,-0.058625+0.037725i,-0.01601-0.046418i,-0.16251+0.042813i,0.14834-0.052059i
-0.032942+0.042158i,0.03511-0.044129i,-0.038119+0.04581i,0.044195-0.0454i,-0.73049-0.5339i,0.028448-0.070873i,-0.03303+0.077011i,0.079464+0.057779i,-0.04391+0.061356i,0.037595-0.067523i,0.031687+0.034712i,0.11839-0.13043i,-0.10081+0.13128i
0.0055669-0.056595i,-0.0060051+0.058777i,0.0070332-0.060514i,-0.010738+0.059797i,0.67333+0.54405i,0.010584+0.082951i,-0.012369-0.080095i,-0.11297+0.15558i,0.0064263-0.098108i,0.0030006+0.094206i,-0.043364-0.027053i,-0.029227+0.18887i,0.013848-0.18001i
0.029002+0.056372i,-0.029951-0.058121i,0.030323+0.059309i,-0.027984-0.057813i,-0.61197-0.56992i,-0.048852-0.079559i,0.043369+0.074095i,-0.14329-0.18258i,0.064875+0.094739i,-0.065453-0.08706i,0.06084+0.0091661i,-0.088389-0.18467i,0.096133+0.16937i
-0.064373-0.032836i,0.066762+0.033529i,-0.068711-0.033655i,0.068174+0.031129i,0.54732+0.61933i,0.092203+0.053962i,-0.089335-0.056016i,0.17613-0.06298i,-0.11109-0.035186i,0.10989+0.0334i,-0.064474+0.027612i,0.18459+0.10474i,-0.1832-0.08824i
0.078868-0.01634i,-0.08191+0.017989i,0.084692-0.020478i,-0.085362+0.026023i,-0.50509-0.70124i,-0.11347+0.0099227i,0.12043-0.014232i,0.0092923+0.073643i,0.10625-0.031723i,-0.10926+0.036416i,0.039574-0.064267i,-0.21343+0.020688i,0.20353-0.034491i
-0.052751+0.066843i,0.054295-0.070847i,-0.055373+0.076026i,0.054125-0.084791i,0.51473+0.78444i,0.075373-0.077348i,-0.075218+0.093446i,0.051255+0.041798i,-0.072509+0.084161i,0.067993-0.094415i,0.0075426+0.081439i,0.16023-0.14159i,-0.14298+0.14839i
-0.002162-0.084633i,0.0032716+0.089025i,-0.0051696-0.094524i,0.0097676+0.10351i,-0.55801-0.82259i,-0.0007307+0.093779i,-0.010641-0.10385i,-0.13062+0.11753i,0.0056549-0.11804i,0.0074805+0.1194i,-0.06549-0.065345i,-0.040099+0.20658i,0.020281-0.20177i
0.052111+0.06077i,-0.055064-0.063858i,0.058823+0.067851i,-0.065126-0.075084i,0.58938+0.8106i,-0.057398-0.058783i,0.063634+0.060922i,-0.10736-0.20513i,0.082438+0.090619i,-0.089231-0.082103i,0.10681+0.0036396i,-0.095885-0.17829i,0.11017+0.16185i
-0.072749-0.012414i,0.076452+0.013687i,-0.08093-0.015834i,0.087779+0.021341i,-0.58633-0.77325i,0.081181+0.0026294i,-0.084278-0.010546i,0.2193-0.055518i,-0.11835+0.0012283i,0.11846-0.0071731i,-0.089786+0.081458i,0.17636+0.070272i,-0.17922-0.047706i
0.057705-0.036108i,-0.061102+0.036956i,0.065338-0.037084i,-0.072031+0.033945i,0.54425+0.73236i,-0.0686+0.058304i,0.080027-0.05176i,0.0078761+0.16512i,0.073835-0.077632i,-0.075591+0.083678i,0.012128-0.13092i,-0.16805+0.052561i,0.15788-0.074123i
-0.016367+0.061586i,0.017889-0.064039i,-0.02003+0.066036i,0.024283-0.065122i,-0.46655-0.71416i,0.016175-0.097803i,-0.023966+0.10299i,-0.06252+0.0072871i,-0.010266+0.095207i,0.0057537-0.10656i,0.074723+0.11318i,0.097412-0.13432i,-0.07594+0.1475i
-0.026234-0.053959i,0.027153+0.056118i,-0.027856-0.057733i,0.027107+0.056251i,0.38298+0.73879i,0.04475+0.087452i,-0.050376-0.089451i,-0.078049+0.03189i,-0.036862-0.086949i,0.05237+0.090559i,-0.12553-0.050474i,-0.0054031+0.16164i,-0.02075-0.16002i
0.048602+0.027761i,-0.050719-0.028342i,0.052711+0.02807i,-0.053387-0.024192i,-0.32709-0.78801i,-0.071938-0.04788i,0.075348+0.038321i,-0.049035-0.17963i,0.081692+0.061136i,-0.092897-0.05096i,0.13074-0.024641i,-0.081492-0.13888i,0.10177+0.12208i
-0.053361-0.0028445i,0.055623+0.002118i,-0.057687-0.00045196i,0.058346-0.004895i,0.29386+0.83139i,0.073429+0.017383i,-0.069488-0.011224i,0.21867+0.0078688i,-0.10308-0.0040754i,0.1036-0.0061379i,-0.092412+0.088686i,0.13999+0.075625i,-0.14664-0.050598i
-0.047506-0.0008754i,0.050287+0.0018819i,-0.053686-0.0038313i,0.058953+0.0094364i,-0.44842-0.82216i,0.053744-0.011081i,-0.056429+0.0013026i,0.15207-0.11364i,-0.080635+0.02148i,0.079076-0.026108i,-0.038405+0.094845i,0.14472+0.042688i,-0.14333-0.018747i
0.035775-0.025242i,-0.038315+0.025759i,0.041534-0.025506i,-0.046699+0.021773i,0.40782+0.80182i,-0.044844+0.047742i,0.055885-0.042372i,0.070247+0.10837i,0.040304-0.059086i,-0.040912+0.064997i,-0.029513-0.10141i,-0.13533+0.045719i,0.12128-0.065855i
-0.014843+0.039663i,0.015991-0.041348i,-0.017568+0.042481i,0.020661-0.040439i,-0.35005-0.79286i,0.01396-0.073091i,-0.018237+0.077897i,-0.015495+0.059431i,-0.011846+0.062782i,0.0049387-0.07225i,0.075539+0.065608i,0.091936-0.11043i,-0.068671+0.12028i
