-0.031972+0.023904i,0.031479-0.031417i,-0.030082+0.045856i,0.02622-0.085609i,0.021994+0.79533i,0.027433+0.099249i,3.4988e-05-0.038168i,-0.45833-0.079493i,-0.12013-0.04053i,0.075261+0.029425i,-0.18641-0.014518i,0.10459+0.021682i,-0.1054-0.032665i
0.034187+0.006502i,-0.037665+0.00020921i,0.04384-0.013588i,-0.060125+0.050744i,0.35114-0.7015i,0.018739-0.11043i,-0.0015173+0.036219i,0.10793+0.43268i,0.037478+0.13733i,-0.021001-0.096926i,0.13479+0.12316i,-0.0576-0.098167i,0.04989+0.10928i
-0.012366-0.025204i,0.018567+0.021425i,-0.030489-0.013198i,0.062881-0.011007i,-0.62574+0.44876i,-0.076864+0.099432i,0.014655-0.050384i,0.35376-0.26239i,0.09534-0.11844i,-0.074239+0.087765i,-0.025403-0.15962i,-0.036091+0.10828i,0.051663-0.11331i
-0.012968+0.017087i,0.0062912-0.016898i,0.0074446+0.015736i,-0.046635-0.010534i,0.74788-0.11139i,0.13071-0.049853i,-0.055094+0.050445i,-0.38924-0.23157i,-0.15341-0.005154i,0.12456+0.00094217i,-0.061918+0.10957i,0.10081-0.039284i,-0.11905+0.032848i
0.016875+0.0079321i,-0.011438-0.005425i,-0.00039703+0.00042512i,0.0361+0.013028i,-0.71064-0.23291i,-0.14648-0.034035i,0.094398-0.0063285i,-0.054289+0.47644i,0.083653+0.11916i,-0.081619-0.095586i,0.07246-0.031278i,-0.083261-0.050413i,0.095172+0.069099i
0.0050521-0.022059i,-0.0088382+0.018071i,0.016934-0.0091371i,-0.041828-0.018004i,0.53434+0.52533i,0.10185+0.11528i,-0.085177-0.066331i,0.48039-0.17341i,0.04191-0.12172i,-0.016952+0.11602i,-0.026631-0.00095615i,0.004257+0.083732i,-0.0014902-0.10805i
-0.029746+0.0066656i,0.032039-0.0016107i,-0.035978-0.0095537i,0.046481+0.044158i,-0.24647-0.72075i,-0.014328-0.14754i,0.017154+0.11085i,-0.39813-0.35918i,-0.10207+0.025188i,0.084288-0.052862i,-0.003787-0.031067i,0.060167-0.037667i,-0.079004+0.055531i
0.027867+0.026757i,-0.028158-0.032949i,0.027364+0.045321i,-0.02198-0.081459i,-0.1147+0.77363i,-0.065672+0.11579i,0.06133-0.08627i,-0.1232+0.53437i,0.050865+0.061786i,-0.06947-0.025997i,-0.02997+0.073862i,-0.051733-0.035422i,0.078067+0.034315i
0.0055788-0.044886i,-0.0085292+0.051406i,0.015196-0.063177i,-0.036759+0.094309i,0.48032-0.64507i,0.096916-0.052144i,-0.087483+0.014984i,0.52252-0.15148i,0.03982-0.050696i,0.0049087+0.045545i,0.10319-0.058977i,-0.014276+0.059967i,-0.0053504-0.076315i
-0.042511+0.02508i,0.049185-0.029609i,-0.061809+0.037293i,0.096983-0.055598i,-0.74863+0.33713i,-0.083969+0.005436i,0.050062+0.036209i,-0.3677-0.37461i,-0.061353-0.03582i,0.030903+0.0015419i,-0.14189-0.025082i,0.065617-0.011793i,-0.062887+0.035193i
0.046858+0.019291i,-0.055513-0.019303i,0.071229+0.01939i,-0.11241-0.02072i,0.82277+0.077455i,0.068011+0.007312i,-0.002978-0.026717i,-0.16175+0.47092i,-0.015118+0.092301i,0.0043091-0.050787i,0.097276+0.11799i,-0.045748-0.058463i,0.05864+0.042371i
-0.011055-0.048171i,0.018166+0.05328i,-0.031558-0.062091i,0.067056+0.084465i,-0.66872-0.46954i,-0.078055-0.01599i,0.0059453-0.012074i,0.47214-0.04453i,0.10939-0.044721i,-0.073342+0.034775i,0.0039174-0.14467i,-0.029301+0.076148i,0.01221-0.075166i
-0.032912+0.032964i,0.030274-0.040831i,-0.024089+0.055127i,0.0051325-0.092155i,0.34415+0.71523i,0.093845+0.059289i,-0.054138+0.010898i,-0.21835-0.41157i,-0.11774-0.07109i,0.097829+0.046154i,-0.083146+0.087588i,0.085897-0.01734i,-0.076919+0.027594i
0.042078+0.013051i,-0.044088-0.0060334i,0.046294-0.0081779i,-0.048404+0.048249i,0.033394-0.76048i,-0.064218-0.13145i,0.077384+0.055457i,-0.30607+0.3691i,0.020609+0.14672i,-0.03782-0.12216i,0.084047-0.0032687i,-0.064787-0.065922i,0.067846+0.055516i
-0.0052523-0.044145i,0.0095559+0.040099i,-0.017413-0.030151i,0.037343-0.0020972i,-0.35639+0.63547i,-0.032864+0.17363i,-0.017102-0.12862i,0.49237+0.13846i,0.098843-0.11116i,-0.067167+0.12104i,-0.024345-0.032122i,-0.020221+0.094465i,0.011085-0.092524i
-0.042466+0.025585i,0.038291-0.023946i,-0.028538+0.018932i,-0.0017945-0.00018914i,0.5765-0.40957i,0.15113-0.12691i,-0.099094+0.1202i,-0.10045-0.54183i,-0.13951-0.0017918i,0.13433-0.036756i,-0.023458-0.0054854i,0.093505-0.03742i,-0.087422+0.043996i
-0.014948+0.025564i,0.011158-0.032233i,-0.0035905+0.044957i,-0.016968-0.079866i,0.36145+0.70354i,0.061691+0.083331i,-0.010142-0.031526i,-0.46398-0.033621i,-0.12107-0.02291i,0.073008+0.016037i,-0.18206-0.0023626i,0.098589+0.009979i,-0.097952-0.02106i
0.02314-0.0047788i,-0.023381+0.012409i,0.023359-0.027314i,-0.022653+0.068204i,0.011498-0.78163i,-0.022173-0.1091i,0.012959+0.030344i,0.14987+0.42543i,0.054138+0.12411i,-0.031697-0.083841i,0.14291+0.10946i,-0.064145-0.083678i,0.055349+0.093899i
-0.011335-0.011561i,0.015259+0.0054471i,-0.022598+0.0070602i,0.041933-0.042591i,-0.36719+0.67711i,-0.035303+0.1181i,-0.0066541-0.05126i,0.33433-0.30384i,0.07229-0.12145i,-0.05512+0.086073i,-0.043131-0.15568i,-0.018937+0.10278i,0.034647-0.10655i
-0.0066231+0.0081832i,0.00076829-0.004998i,0.011051-0.0019471i,-0.044191+0.023106i,0.62762-0.42984i,0.10041-0.090217i,-0.032643+0.065876i,-0.42696-0.19194i,-0.13876+0.013099i,0.10872-0.011674i,-0.045501+0.11987i,0.083811-0.04827i,-0.10138+0.041024i
0.0094137+0.010027i,-0.0033592-0.010392i,-0.0094355+0.0112i,0.047213-0.014417i,-0.75066+0.101i,-0.14086+0.020302i,0.083495-0.036651i,0.0086434+0.49409i,0.084738+0.097358i,-0.078198-0.075813i,0.067365-0.050114i,-0.077143-0.031965i,0.088288+0.050671i
0.009182-0.020568i,-0.014688+0.018786i,0.026147-0.01447i,-0.060415+0.00098489i,0.72134+0.24909i,0.12721+0.063885i,-0.095907-0.032403i,0.45935-0.24478i,0.029489-0.10751i,-0.0076817+0.099667i,-0.034699+0.015844i,0.011736+0.066622i,-0.0087146-0.090568i
-0.030895+0.0060343i,0.035614-0.0022415i,-0.04452-0.0062807i,0.069463+0.033037i,-0.53819-0.56067i,-0.064087-0.11741i,0.047562+0.089872i,-0.44873-0.29745i,-0.08744+0.020915i,0.068971-0.045967i,0.011465-0.038527i,0.044882-0.029994i,-0.063509+0.047748i
0.029495+0.025167i,-0.032547-0.031214i,0.037402+0.043367i,-0.048464-0.079043i,0.21897+0.76466i,-0.008491+0.11683i,0.025206-0.088146i,-0.042895+0.54042i,0.038642+0.060404i,-0.05496-0.024074i,-0.044725+0.071588i,-0.036928-0.032804i,0.063169+0.031309i
0.0010883-0.043505i,-0.0013877+0.051127i,0.0027818-0.06526i,-0.0093559+0.10354i,0.17792-0.79183i,0.050613-0.081369i,-0.061633+0.036223i,0.48385-0.21729i,0.050921-0.046463i,-0.0059159+0.038201i,0.11332-0.050758i,-0.023818+0.051233i,0.0037091-0.06712i
-0.036329+0.027128i,0.041059-0.033953i,-0.049976+0.046293i,0.075029-0.078058i,-0.54747+0.60985i,-0.059657+0.050908i,0.041732+0.0081288i,-0.39779-0.31386i,-0.072168-0.045134i,0.037712+0.01237i,-0.14694-0.035923i,0.06953-0.001074i,-0.065918+0.024564i
0.042427+0.013143i,-0.050451-0.010092i,0.065079+0.0041651i,-0.10362+0.011367i,0.77246-0.25999i,0.067617-0.041252i,-0.0086339-0.0027854i,-0.10537+0.4676i,-0.0092952+0.10904i,0.0027893-0.064452i,0.09728+0.13001i,-0.044887-0.069399i,0.057155+0.052505i
-0.010848-0.040258i,0.018938+0.042325i,-0.034318-0.045256i,0.075556+0.051403i,-0.78349-0.14697i,-0.098221+0.026118i,0.018392-0.028747i,0.45204-0.085159i,0.11552-0.064531i,-0.079612+0.048687i,0.010025-0.1561i,-0.035256+0.08609i,0.018044-0.084075i
-0.029121+0.02626i,0.024129-0.031966i,-0.013342+0.042087i,-0.018418-0.067584i,0.59717+0.48455i,0.13001+0.030198i,-0.070173+0.022129i,-0.24834-0.38641i,-0.1366-0.05875i,0.11204+0.037635i,-0.095457+0.094494i,0.097111-0.023303i,-0.087407+0.032936i
0.036049+0.017204i,-0.035009-0.010918i,0.031245-0.0018682i,-0.016708+0.037905i,-0.29741-0.67541i,-0.1106-0.12135i,0.097921+0.050028i,-0.27332+0.39508i,0.043132+0.14994i,-0.054871-0.12414i,0.098865-0.0014773i,-0.078357-0.067686i,0.080647+0.057288i
0.001903-0.045865i,-0.00055068+0.041055i,-0.0014851-0.029584i,0.0049973-0.0068832i,-0.024986+0.71397i,0.014282+0.18707i,-0.040865-0.13363i,0.50854+0.090487i,0.085267-0.12756i,-0.055489+0.13312i,-0.034882-0.042858i,-0.010397+0.10461i,0.0016974-0.1024i
-0.050675+0.02454i,0.048737-0.02094i,-0.043382+0.011984i,0.025516+0.017988i,0.31938-0.63238i,0.11614-0.16273i,-0.079687+0.13894i,-0.16008-0.53256i,-0.14051+0.016459i,0.13334-0.052124i,-0.022422+0.0087895i,0.092689-0.051205i,-0.086858+0.057618i
0.0011187+0.022828i,-0.0075723-0.027433i,0.020056+0.036093i,-0.053776-0.059651i,0.63038+0.48004i,0.085414+0.050919i,-0.01508-0.017665i,-0.46778+0.0084952i,-0.11745-0.0021825i,0.067019+0.00044332i,-0.17433+0.0114i,0.089393-0.0028895i,-0.087418-0.008639i
