-0.087558+0.045487i,0.10233-0.055054i,-0.12671+0.071241i,0.17746-0.10588i,-0.37545+0.24525i,-0.45373+0.35496i,0.037106-0.070086i,0.46013-0.045124i,0.073309-0.01671i,-0.010456-0.025977i,0.029029-0.12645i,0.011964+0.025597i,-0.028101-0.0079214i
0.066392-0.04767i,-0.081221+0.054163i,0.10682-0.064148i,-0.16276+0.083105i,0.39219-0.14888i,0.60736-0.097291i,-0.13833-0.051353i,-0.039123+0.5011i,-0.063573+0.035774i,0.029552+0.03469i,-0.066657+0.10775i,0.028257-0.0043348i,-0.017963-0.015984i
-0.039415+0.016024i,0.052187-0.016191i,-0.075316+0.015566i,0.12842-0.01208i,-0.35728-0.01101i,-0.67919-0.1188i,0.2278+0.081284i,-0.50743-0.33587i,0.016576+0.0034111i,-0.024581-0.050987i,0.084288-0.098745i,-0.050366+0.0035816i,0.046609+0.011018i
0.032228+0.030338i,-0.043337-0.037755i,0.063577+0.050534i,-0.11034-0.078281i,0.31314+0.19067i,0.60992+0.2909i,-0.21216-0.054612i,0.52115-0.20514i,-0.0056632-0.081738i,0.016241+0.076688i,-0.085273+0.089728i,0.048052-0.0085176i,-0.044499+0.0036931i
-0.045302-0.058347i,0.055396+0.071043i,-0.072778-0.092562i,0.11066+0.1385i,-0.26565-0.32145i,-0.40858-0.45288i,0.091869+0.066027i,0.024799+0.42222i,0.037783+0.12269i,-0.0089925-0.092526i,0.073332-0.080519i,-0.024778+0.007718i,0.015041-0.0082679i
0.05418+0.050215i,-0.061822-0.063973i,0.073847+0.088099i,-0.097432-0.14159i,0.18302+0.36364i,0.15227+0.61039i,0.036384-0.15617i,-0.49077-0.016666i,-0.046301-0.096845i,-0.01329+0.093987i,-0.04898+0.066817i,-0.009522+0.0084732i,0.024855-0.011173i
-0.034106-0.018252i,0.036142+0.030102i,-0.038398-0.052231i,0.040595+0.10433i,-0.039152-0.33307i,0.077157-0.71232i,-0.082776+0.2607i,0.3452-0.54369i,-0.012845+0.062822i,0.053117-0.10283i,0.023867-0.038417i,0.034722-0.044257i,-0.04836+0.054827i
-0.015666-0.0084236i,0.021355-0.0011746i,-0.031473+0.020064i,0.054003-0.066333i,-0.14669+0.27506i,-0.25187+0.69154i,0.054833-0.28029i,0.19739+0.59382i,0.089735-0.087878i,-0.078933+0.13324i,-0.024495-0.0010219i,-0.026103+0.085718i,0.031094-0.10103i
0.071063+0.010494i,-0.083456-0.0023924i,0.10405-0.013354i,-0.14723+0.051174i,0.31654-0.21714i,0.39321-0.52961i,-0.034501+0.18827i,-0.45093-0.076579i,-0.093416+0.14919i,0.05591-0.15755i,0.067533+0.020476i,-0.023335-0.098485i,0.027372+0.11167i
-0.104+0.00776i,0.11966-0.013949i,-0.14554+0.025089i,0.2-0.049936i,-0.41732+0.15103i,-0.51817+0.27488i,0.075885-0.05268i,0.10052-0.39941i,0.0095475-0.1481i,0.0040839+0.12517i,-0.13091+0.01681i,0.084639+0.051894i,-0.092056-0.059085i
0.10255-0.027343i,-0.11811+0.029742i,0.14429-0.03316i,-0.20081+0.039052i,0.43419-0.056942i,0.60412+2.1563e-05i,-0.14688-0.045186i,0.42196+0.31031i,0.066537+0.030667i,-0.039636-0.023083i,0.16149-0.11054i,-0.10689+0.046338i,0.11156-0.043599i
-0.073474+0.032508i,0.087107-0.029579i,-0.11071+0.023193i,0.16305-0.0070235i,-0.38385-0.064349i,-0.60957-0.24868i,0.17755+0.092613i,-0.48258+0.1527i,-0.033342+0.13069i,-0.00025334-0.092858i,-0.12307+0.20798i,0.06063-0.14302i,-0.059958+0.14091i
0.031155-0.019362i,-0.041839+0.011431i,0.060979+0.0037349i,-0.10422-0.039166i,0.28642+0.18855i,0.51921+0.45603i,-0.14677-0.13337i,0.028664-0.34414i,-0.09383-0.20178i,0.095936+0.14144i,0.037928-0.24242i,0.029323+0.17687i,-0.035176-0.17307i
0.011523-0.0078494i,-0.0052412+0.019106i,-0.0067612-0.039873i,0.034823+0.08768i,-0.15321-0.29078i,-0.35666-0.60693i,0.098295+0.18875i,0.35743-0.017819i,0.1895+0.13077i,-0.16807-0.094515i,0.026226+0.19285i,-0.098766-0.13012i,0.10957+0.12401i
-0.0439+0.041817i,0.043609-0.054961i,-0.041646+0.078496i,0.034817-0.13198i,-0.00051845+0.36059i,0.15463+0.6704i,-0.072613-0.21971i,-0.19379+0.49558i,-0.15337-0.0051382i,0.15408+0.0052999i,-0.01637-0.10369i,0.097599+0.044291i,-0.1132-0.034912i
0.057314-0.071561i,-0.06317+0.085809i,0.071931-0.1104i,-0.088247+0.16463i,0.14486-0.39177i,0.072525-0.6246i,0.049239+0.17935i,-0.29491-0.47946i,0.019801-0.046661i,-0.069255+0.046222i,-0.058375+0.042478i,-0.03174+0.017067i,0.049931-0.030956i
-0.10445+0.060115i,0.1191-0.071124i,-0.14267+0.089628i,0.19056-0.12911i,-0.37352+0.28831i,-0.38333+0.40126i,-0.0019893-0.079357i,0.5003+0.028772i,0.041576+0.0063359i,0.017129-0.04566i,-0.036795-0.11233i,0.059367+0.0075925i,-0.076093+0.011556i
0.078876-0.07716i,-0.093998+0.08612i,0.11966-0.099777i,-0.17482+0.1257i,0.3979-0.21713i,0.56518-0.13619i,-0.10712-0.062552i,-0.13666+0.4993i,-0.055999+0.0025463i,0.020427+0.070995i,-0.01823+0.075604i,-0.0021945+0.035397i,0.012839-0.060039i
-0.037643+0.053786i,0.05052-0.05706i,-0.073867+0.060933i,0.12747-0.065607i,-0.35824+0.070619i,-0.68471-0.090373i,0.22761+0.11055i,-0.46032-0.43023i,0.032143+0.033485i,-0.041395-0.092248i,0.064198-0.060314i,-0.050144-0.045558i,0.048453+0.066506i
0.012792-0.0020623i,-0.023499-0.0025609i,0.043699+0.011265i,-0.091654-0.031581i,0.30358+0.11835i,0.66937+0.26339i,-0.25344-0.080372i,0.59338-0.1053i,-0.037943-0.1036i,0.058129+0.1103i,-0.094686+0.060999i,0.080365+0.031398i,-0.082242-0.042055i
-0.015001-0.044372i,0.024508+0.055533i,-0.041923-0.074646i,0.081946+0.11577i,-0.25263-0.28029i,-0.50718-0.4159i,0.1599+0.06582i,-0.11239+0.42073i,0.083522+0.13435i,-0.068555-0.10792i,0.10317-0.075705i,-0.079159-0.006025i,0.076924+0.0082417i
0.026387+0.059175i,-0.033944-0.072968i,0.046811+0.096791i,-0.074148-0.14885i,0.18123+0.36226i,0.2615+0.56588i,-0.028687-0.12707i,-0.40712-0.11141i,-0.1013-0.091738i,0.050593+0.08453i,-0.082158+0.092976i,0.046962-0.011622i,-0.038515+0.0099381i
-0.020438-0.043948i,0.023314+0.056986i,-0.027582-0.080426i,0.035197+0.13396i,-0.058835-0.36394i,-0.016854-0.67592i,-0.042577+0.22115i,0.36526-0.45528i,0.037334+0.034419i,0.0025851-0.070047i,0.040721-0.091128i,-0.0021995+0.0034847i,-0.0073019+0.0037585i
-0.01185+0.022008i,0.015973-0.033266i,-0.023336+0.054284i,0.039795-0.10387i,-0.10775+0.3225i,-0.18511+0.68135i,0.040757-0.25257i,0.13995+0.59333i,0.065032-0.042882i,-0.056674+0.090289i,-0.01154+0.062081i,-0.022011+0.028834i,0.025871-0.040848i
0.054906-0.014378i,-0.065615+0.024188i,0.083595-0.042405i,-0.12156+0.084837i,0.27086-0.268i,0.35369-0.55343i,-0.034767+0.18097i,-0.44878-0.13445i,-0.1042+0.11041i,0.064142-0.1249i,0.025388-0.032203i,0.0031589-0.05431i,0.00031392+0.065768i
-0.084212+0.022937i,0.098595-0.030809i,-0.12268+0.044679i,0.17384-0.075226i,-0.37896+0.19924i,-0.50301+0.3271i,0.081982-0.059756i,0.15786-0.37668i,0.042819-0.13793i,-0.021052+0.11787i,-0.074298+0.045718i,0.043534+0.033324i,-0.050242-0.040498i
