0.043827-0.002928i,-0.053951+0.0094257i,0.071657-0.022229i,-0.11395+0.056614i,0.54445-0.44497i,0.045747-0.10368i,0.095841-0.011892i,0.27294-0.33288i,-0.036866+0.16743i,-0.078778-0.23544i,-0.3595-0.30324i,0.11809+0.039921i,-0.084719-0.02005i
0.019784-0.029456i,-0.026068+0.040171i,0.037787-0.05932i,-0.067676+0.10599i,0.38938-0.59001i,0.056903-0.078445i,0.053657-0.070301i,0.30108-0.28232i,-0.11906+0.043554i,0.13896+0.10539i,0.12595+0.52841i,0.0040592-0.19232i,-0.024073+0.16003i
0.025015-0.015973i,-0.030108+0.025416i,0.038922-0.043576i,-0.059529+0.091613i,0.26038-0.63205i,0.006721-0.13377i,0.082778-0.015944i,0.23286-0.39191i,-0.058326+0.19439i,0.027874-0.28461i,-0.049068-0.42646i,0.027866+0.082011i,-0.022185-0.0575i
0.020801-0.043452i,-0.023911+0.056552i,0.028732-0.079716i,-0.038189+0.13572i,0.10581-0.71437i,-0.032585-0.085122i,0.096664-0.089976i,0.18101-0.31734i,-0.022521+0.042608i,-0.033891+0.11749i,-0.15551+0.53146i,0.051107-0.17955i,-0.0407+0.13889i
0.0091729-0.025812i,-0.0088724+0.036565i,0.0077967-0.056711i,-0.0033846+0.10866i,-0.069147-0.68012i,-0.051482-0.12389i,0.081081-0.041973i,0.17107-0.41427i,-0.06383+0.18187i,0.12021-0.24349i,0.2911-0.34196i,-0.088827+0.066479i,0.071663-0.052714i
0.020955-0.038106i,-0.020566+0.050155i,0.017902-0.071637i,-0.0055152+0.12393i,-0.19514-0.66554i,-0.12398-0.080855i,0.13704-0.093729i,0.055636-0.366i,0.070549+0.081231i,-0.18769+0.03249i,-0.3716+0.35336i,0.075108-0.1387i,-0.037786+0.11665i
-0.0053905-0.027599i,0.010623+0.037535i,-0.020801-0.055628i,0.048423+0.10064i,-0.37648-0.57477i,-0.10708-0.079823i,0.079488-0.081669i,0.096919-0.40855i,-0.053585+0.14294i,0.16628-0.13655i,0.50477-0.078431i,-0.16673-0.0085308i,0.13599+0.002954i
0.010984-0.019266i,-0.0067243+0.027467i,-0.0033233-0.042443i,0.03526+0.079461i,-0.4589-0.46161i,-0.17996-0.058418i,0.14377-0.091654i,-0.038369-0.41321i,0.11654+0.13886i,-0.2476-0.1072i,-0.44398+0.062197i,0.084938-0.07735i,-0.043596+0.089999i
-0.018386-0.026865i,0.027231+0.034418i,-0.043967-0.047307i,0.088103+0.076566i,-0.59616-0.34776i,-0.14184-0.0031462i,0.069487-0.13601i,0.018258-0.37328i,-0.028688+0.081675i,0.1473+0.0058437i,0.49727+0.23381i,-0.16646-0.089451i,0.1344+0.059163i
-0.0067997-0.0021044i,0.014527+0.0054229i,-0.030337-0.0116i,0.075332+0.026517i,-0.62631-0.16474i,-0.18587-0.0051292i,0.10981-0.10551i,-0.091883-0.42874i,0.1067+0.1738i,-0.19593-0.222i,-0.33526-0.24143i,0.07067+0.0066312i,-0.050914+0.034496i
-0.021393-0.028271i,0.031385+0.032667i,-0.050305-0.038653i,0.10017+0.047229i,-0.67141-0.056405i,-0.15443+0.094533i,0.057404-0.19907i,-0.070776-0.31442i,0.020544+0.010761i,0.052399+0.13815i,0.29185+0.44445i,-0.11087-0.12171i,0.095397+0.067908i
-0.019967+0.0058083i,0.029389-0.0069446i,-0.047383+0.0094248i,0.095264-0.017853i,-0.64819+0.15174i,-0.15185+0.073554i,0.052644-0.14049i,-0.12372-0.40045i,0.068052+0.16409i,-0.076705-0.25557i,-0.068119-0.43608i,0.011438+0.086521i,-0.024477-0.037402i
-0.0083807-0.026155i,0.016503+0.026882i,-0.032446-0.025294i,0.075686+0.0123i,-0.57881+0.24074i,-0.14792+0.18204i,0.048901-0.24608i,-0.17205-0.25823i,0.094258-0.036657i,-0.098423+0.19929i,-0.0017275+0.47039i,-0.049479-0.10095i,0.067721+0.039152i
-0.021574+0.0088772i,0.030206-0.013451i,-0.045937+0.022954i,0.08547-0.051195i,-0.51412+0.42397i,-0.091284+0.15072i,-0.011097-0.17873i,-0.15151-0.34361i,0.028898+0.12131i,0.049263-0.20378i,0.25363-0.42567i,-0.078518+0.11141i,0.03714-0.073257i
0.012524-0.012884i,-0.0083764+0.0096162i,-0.00071648-0.00074825i,0.027302-0.030686i,-0.34764+0.48748i,-0.11372+0.22649i,0.030954-0.25123i,-0.26393-0.23128i,0.16265-0.031331i,-0.2395+0.15073i,-0.26127+0.31687i,-0.0041855-0.057328i,0.057607+0.014335i
-0.017149+0.010857i,0.023062-0.017468i,-0.033036+0.031235i,0.055407-0.071814i,-0.26254+0.59654i,-0.00899+0.20118i,-0.079267-0.202i,-0.17541-0.27683i,-0.0023941+0.065332i,0.14083-0.092786i,0.47691-0.20834i,-0.14088+0.061906i,0.081853-0.046058i
0.045744+0.020569i,-0.057834-0.019227i,0.079395+0.015214i,-0.13197-0.00098745i,0.67718-0.19526i,0.073653-0.099945i,0.10657+0.071676i,0.39277-0.11441i,-0.095497+0.12176i,0.0056425-0.236i,-0.24667-0.40979i,0.10474+0.079321i,-0.085535-0.047301i
0.034275-0.011524i,-0.044482+0.018108i,0.062988-0.030124i,-0.10882+0.060242i,0.5891-0.38572i,0.072479-0.074514i,0.093475+0.0036545i,0.40932-0.062796i,-0.13033-0.018741i,0.095968+0.15351i,-0.046285+0.5378i,0.057023-0.18213i,-0.057685+0.15i
0.031065-0.00019585i,-0.039545+0.0062273i,0.05485-0.018623i,-0.092481+0.053733i,0.48175-0.47701i,0.049644-0.14i,0.099324+0.059257i,0.40009-0.18843i,-0.13527+0.13983i,0.13163-0.24644i,0.077775-0.42886i,0.015606+0.093657i,-0.025495-0.068142i
0.039165-0.027962i,-0.047326+0.038208i,0.060983-0.056845i,-0.091483+0.10366i,0.37177-0.6124i,-0.0082357-0.10785i,0.14523-0.007263i,0.33126-0.14069i,-0.048022+0.010234i,-0.063743+0.11188i,-0.32141+0.4464i,0.10586-0.15072i,-0.076685+0.12035i
0.020307-0.019714i,-0.024357+0.02926i,0.031362-0.04753i,-0.047465+0.096035i,0.19514-0.65077i,-0.010121-0.14561i,0.11372+0.024893i,0.36866-0.23476i,-0.1417+0.12227i,0.20901-0.17157i,0.37011-0.24723i,-0.087933+0.051689i,0.060498-0.047464i
0.039836-0.027024i,-0.044616+0.037894i,0.051038-0.058124i,-0.060357+0.11012i,0.078676-0.68536i,-0.10026-0.13111i,0.19429-0.005788i,0.24449-0.23631i,0.025335+0.075776i,-0.18176-0.015199i,-0.46762+0.20393i,0.11376-0.099069i,-0.064672+0.094294i
0.010583-0.029506i,-0.010009+0.040346i,0.0081232-0.060373i,-0.00052582+0.11146i,-0.12455-0.6719i,-0.084061-0.12051i,0.13698-0.020783i,0.30854-0.26517i,-0.11803+0.08926i,0.21419-0.053888i,0.49306+0.068123i,-0.14517-0.03992i,0.11415+0.019048i
0.027168-0.013383i,-0.02725+0.022175i,0.024805-0.039207i,-0.010828+0.084479i,-0.23647-0.5954i,-0.16767-0.1298i,0.21104-0.005999i,0.18183-0.32915i,0.05122+0.15109i,-0.19644-0.17122i,-0.43791-0.090829i,0.097784-0.042377i,-0.054988+0.073105i
2.9886e-05-0.032866i,0.0046144+0.042865i,-0.014311-0.060574i,0.042813+0.10335i,-0.41021-0.5431i,-0.14876-0.061842i,0.15506-0.079043i,0.23278-0.27786i,-0.073962+0.047211i,0.14762+0.068362i,0.3893+0.36738i,-0.12443-0.12272i,0.10271+0.07826i
0.0042094-0.0015069i,0.00066879+0.006941i,-0.011623-0.017851i,0.045768+0.047428i,-0.50195-0.37971i,-0.19455-0.08492i,0.18918-0.032532i,0.14867-0.38504i,0.027088+0.19156i,-0.10789-0.27263i,-0.23958-0.33341i,0.06004+0.021497i,-0.048056+0.031881i
-0.0044311-0.034595i,0.011394+0.042152i,-0.02576-0.054383i,0.067333+0.080323i,-0.59118-0.30106i,-0.19495+0.025195i,0.16753-0.14743i,0.14193-0.2739i,-0.0094287+0.0046244i,0.019413+0.15594i,0.12263+0.5073i,-0.056979-0.1424i,0.058737+0.08156i
-0.01482+0.0013504i,0.023119+0.0006072i,-0.039522-0.004358i,0.085246+0.013486i,-0.64502-0.094386i,-0.18795+0.0016912i,0.14636-0.091304i,0.12316-0.39046i,-0.01456+0.17667i,0.024218-0.27087i,0.066563-0.42708i,-0.010433+0.073452i,-0.014644-0.022237i
0.0036893-0.030753i,0.0030349+0.034512i,-0.017592-0.038998i,0.061188+0.043001i,-0.61985+0.0041161i,-0.21818+0.11541i,0.17513-0.20599i,0.038246-0.27202i,0.069717-0.013956i,-0.13715+0.16516i,-0.17+0.43584i,0.0014494-0.1004i,0.034399+0.041308i
-0.020505+0.0003293i,0.029514-0.0015873i,-0.046616+0.0048562i,0.092181-0.016763i,-0.62609+0.20318i,-0.15678+0.10231i,0.098406-0.16188i,0.086429-0.36253i,-0.042886+0.12381i,0.13213-0.17869i,0.36157-0.31763i,-0.09606+0.073702i,0.045056-0.043788i
0.018491-0.015329i,-0.014063+0.014298i,0.0032721-0.0099774i,0.031587-0.0086773i,-0.49656+0.3121i,-0.20453+0.17843i,0.16296-0.23201i,-0.056084-0.2921i,0.13341+0.012123i,-0.25609+0.077651i,-0.36465+0.20099i,0.027981-0.03682i,0.036897+0.0044067i
-0.016623+0.00072343i,0.023839-0.0046159i,-0.03716+0.013641i,0.071382-0.042924i,-0.45655+0.45229i,-0.099985+0.18622i,0.044758-0.22041i,0.0403-0.32431i,-0.051961+0.06117i,0.18032-0.041862i,0.50575-0.043672i,-0.14227+0.011927i,0.081536-0.010564i
0.03538+0.043692i,-0.046844-0.047869i,0.067954+0.05344i,-0.1214-0.061711i,0.69927+0.0864i,0.1102-0.086134i,0.056384+0.15144i,0.36052+0.12336i,-0.11835+0.062057i,0.075713-0.21117i,-0.098683-0.47246i,0.074322+0.11029i,-0.073585-0.070583i
0.037826+0.010329i,-0.049608-0.0089931i,0.071006+0.0060642i,-0.1243+0.0028375i,0.69048-0.12214i,0.097361-0.06427i,0.073923+0.085695i,0.36524+0.18044i,-0.10268-0.081889i,0.029417+0.18579i,-0.20516+0.49042i,0.098369-0.15439i,-0.081744+0.12788i
0.027616+0.01767i,-0.037425-0.01616i,0.055837+0.011653i,-0.10326+0.0049472i,0.62151-0.24892i,0.10384-0.13175i,0.057495+0.1385i,0.41727+0.065097i,-0.17228+0.061898i,0.20717-0.17631i,0.20578-0.39025i,-0.0051359+0.10022i,-0.021092-0.077849i
0.047974-0.0062997i,-0.059278+0.011954i,0.078754-0.023007i,-0.12427+0.053301i,0.57382-0.41748i,0.033598-0.12139i,0.13199+0.09171i,0.3416+0.089803i,-0.043227-0.032774i,-0.10102+0.099628i,-0.4432+0.31018i,0.14211-0.10362i,-0.099231+0.088518i
0.025592-0.0083795i,-0.032702+0.015007i,0.045753-0.028282i,-0.078451+0.065579i,0.42217-0.52198i,0.047827-0.15433i,0.090952+0.10749i,0.42473+0.01973i,-0.17831+0.035971i,0.25953-0.072466i,0.42161-0.13336i,-0.087852+0.038426i,0.052418-0.045464i
0.05137-0.0082826i,-0.060076+0.015951i,0.073832-0.031376i,-0.10219+0.074606i,0.33443-0.59858i,-0.049909-0.17319i,0.18918+0.10721i,0.31029-0.024601i,0.0020909+0.048992i,-0.17139-0.054276i,-0.50244+0.028454i,0.13104-0.046438i,-0.076867+0.061574i
