-0.017448+0.032509i,0.019438-0.0386i,-0.022517+0.047803i,0.028002-0.063416i,-0.040379+0.096034i,0.088024-0.20926i,0.37049-0.77355i,-0.089056+0.11984i,0.12891-0.045358i,0.26683+0.10208i,-0.069963-0.048387i,0.048962+0.036205i,-0.212-0.20773i
0.016799-0.030914i,-0.018773+0.036671i,0.021834-0.045432i,-0.027301+0.060437i,0.039668-0.09217i,-0.087378+0.20398i,-0.37246+0.78065i,0.090519-0.13254i,-0.13143+0.078487i,-0.27097-0.021365i,0.070787+0.028245i,-0.049863-0.023907i,-0.020593+0.25587i
-0.017316+0.029488i,0.019385-0.034912i,-0.022574+0.043236i,0.028216-0.057639i,-0.040844+0.088498i,0.08903-0.19891i,0.37143-0.7875i,-0.087433+0.14489i,0.12347-0.11079i,0.25256-0.05716i,-0.066643-0.0089086i,0.048+0.012741i,0.19001-0.07633i
0.018904-0.028088i,-0.021169+0.03321i,0.024611-0.041135i,-0.030598+0.054992i,0.043728-0.085061i,-0.09276+0.19421i,-0.36768+0.79375i,0.080219-0.15608i,-0.10588+0.13975i,-0.2129+0.12667i,0.05751-0.0079119i,-0.042806-0.003386i,-0.13201-0.16252i
-0.021159+0.026689i,0.023697-0.031565i,-0.027494+0.039168i,0.033962-0.052586i,-0.047789+0.08202i,0.097972-0.19016i,0.36191-0.7989i,-0.069812+0.16523i,0.08048-0.16294i,0.15505-0.18133i,-0.043884+0.020988i,0.034554-0.004033i,-0.093231+0.23329i
0.02355-0.02549i,-0.026414+0.030202i,0.030635-0.037591i,-0.037682+0.050719i,0.052348-0.079733i,-0.1039+0.18719i,-0.35502+0.80239i,0.05742-0.17142i,-0.049698+0.17825i,-0.083674+0.21667i,0.026836-0.029438i,-0.02432+0.009253i,0.26015-0.071699i
-0.025646+0.024874i,0.028859-0.029519i,-0.03354+0.036821i,0.041216-0.049833i,-0.056798+0.078677i,0.10985-0.18584i,0.3479-0.80358i,-0.044308+0.17385i,0.016328-0.18412i,0.0046961-0.22993i,-0.0077892+0.032655i,0.013302-0.011614i,-0.19896-0.16079i
0.027261-0.025232i,-0.030818+0.029916i,0.035954-0.037269i,-0.044257+0.050347i,0.060754-0.079281i,-0.11531+0.18655i,-0.34125+0.80201i,0.031628-0.17201i,0.016759+0.17978i,0.07526+0.22019i,-0.011737-0.030438i,-0.0022304+0.010521i,-0.037676+0.23524i
-0.028461+0.026756i,0.032328-0.031584i,-0.037875+0.039121i,0.046747-0.052445i,-0.064081+0.081723i,0.12001-0.18948i,0.33555-0.79755i,-0.020323+0.1658i,-0.046862-0.16537i,-0.14939-0.18849i,0.030194+0.023146i,-0.0085193-0.0060945i,0.22563-0.07933i
0.029418-0.029294i,-0.033536+0.034362i,0.039419-0.042207i,-0.048756+0.05594i,0.066779-0.085791i,-0.12387+0.19439i,-0.3311+0.7905i,0.01111-0.15571i,0.071656+0.14203i,0.21123+0.13763i,-0.045947-0.011629i,0.018319-0.00073202i,-0.18812-0.15192i
-0.030203+0.032379i,0.0345-0.037763i,-0.040621+0.046012i,0.05029-0.060285i,-0.068807+0.090892i,0.12675-0.20061i,0.32816-0.78166i,-0.0045745+0.14278i,-0.089259-0.11189i,-0.25531-0.07184i,0.057375-0.0030878i,-0.025948+0.0088579i,-0.031851+0.22823i
0.030653-0.035417i,-0.035044+0.041158i,0.041292-0.049869i,-0.051139+0.064759i,0.069927-0.096236i,-0.12837+0.20725i,-0.32709+0.77209i,0.0012966-0.12848i,0.098203+0.077886i,0.27778-0.0036758i,-0.063259+0.020074i,0.03004-0.017763i,0.21421-0.069788i
-0.030396+0.037949i,0.034789-0.04405i,-0.04104+0.053226i,0.050899-0.068746i,-0.069715+0.10111i,0.12828-0.21347i,0.32841-0.76287i,-0.0018825+0.11432i,-0.097434-0.043241i,-0.27701+0.082941i,0.063227-0.038431i,-0.030006+0.027566i,-0.17766-0.17432i
0.02906-0.039824i,-0.033351+0.046248i,0.039474-0.05585i,-0.049163+0.071947i,0.067754-0.10514i,-0.12604+0.21874i,-0.33255+0.75473i,0.0067879-0.10154i,0.086496+0.010979i,0.25358-0.15941i,-0.057871+0.056941i,0.026532-0.038266i,-0.042667+0.27176i
-0.026528+0.041173i,0.030611-0.047863i,-0.036471+0.057814i,0.045813-0.074389i,-0.063927+0.10827i,0.12157-0.2229i,0.33958-0.74804i,-0.015996+0.09092i,-0.065868+0.01646i,-0.21003+0.22635i,0.048343-0.073822i,-0.021085+0.04892i,0.22986-0.13396i
0.023077-0.042196i,-0.02686+0.04908i,0.032337-0.059287i,-0.041175+0.076214i,0.058595-0.1106i,-0.11526+0.226i,-0.34901+0.74291i,0.028774-0.082915i,0.037216-0.037234i,0.15019-0.27755i,-0.035725+0.086988i,0.014801-0.057655i,-0.19795-0.097801i
-0.030397+0.025622i,0.035264-0.029789i,-0.042739+0.03591i,0.055746-0.045949i,-0.083928+0.066089i,0.18652-0.13276i,0.74756-0.42028i,-0.14847+0.040682i,0.14704+0.035755i,0.1895+0.18549i,-0.034775-0.053984i,0.021374+0.033536i,-0.01943-0.26905i
0.028727-0.024481i,-0.033426+0.028351i,0.040685-0.034077i,-0.053405+0.04357i,0.081185-0.062908i,-0.1832+0.12825i,-0.75269+0.42576i,0.15564-0.051532i,-0.16385-0.0068287i,-0.2269-0.11413i,0.043494+0.036141i,-0.026766-0.022991i,-0.18527+0.14205i
-0.028212+0.023012i,0.032847-0.026544i,-0.040023+0.031822i,0.052632-0.040698i,-0.08026+0.059135i,0.18208-0.123i,0.75497-0.43223i,-0.15852+0.063928i,0.1708-0.02571i,0.24295+0.035092i,-0.047336-0.016763i,0.029034+0.011993i,0.18751+0.1061i
0.028746-0.021102i,-0.033423+0.024282i,0.040652-0.029098i,-0.053333+0.03734i,0.081068-0.054854i,-0.18309+0.11722i,-0.75442+0.43928i,0.15706-0.076989i,-0.16749+0.059245i,-0.23607+0.044854i,0.045762-0.0025839i,-0.027756-0.00092071i,0.016163-0.23995i
-0.029964+0.018854i,0.034783-0.0217i,-0.042196+0.026079i,0.055126-0.033725i,-0.08322+0.050374i,0.18584-0.11133i,0.75146-0.44627i,-0.15169+0.089616i,0.15448-0.090927i,0.20663-0.11898i,-0.038813+0.020389i,0.023352-0.0096698i,-0.22568+0.13585i
0.03145-0.016633i,-0.036496+0.019192i,0.044207-0.023196i,-0.057541+0.030333i,0.086221-0.046243i,-0.18979+0.10599i,-0.74668+0.45235i,0.14316-0.10056i,-0.13313+0.11792i,-0.15692+0.18114i,0.026999-0.035191i,-0.016543+0.018705i,0.2333+0.097571i
-0.032932+0.014957i,0.038269-0.0173i,-0.046362+0.021023i,0.06022-0.027778i,-0.089659+0.043134i,0.19444-0.10195i,0.7407-0.45663i,-0.13238+0.1086i,0.10544-0.13768i,0.090959-0.22626i,-0.011139+0.045784i,0.0077385-0.024986i,-0.027082-0.22624i
0.034372-0.014283i,-0.040035+0.016503i,0.04856-0.020067i,-0.063011+0.026602i,0.093312-0.041632i,-0.19948+0.099879i,-0.73404+0.45832i,0.12026-0.1127i,-0.073782+0.1482i,-0.014247+0.2508i,-0.0076469-0.051484i,0.0029447+0.027936i,-0.19713+0.12018i
-0.035898+0.014796i,0.041897-0.017005i,-0.050866+0.020549i,0.065929-0.027052i,-0.097121+0.042022i,0.20472-0.1001i,0.72709-0.45703i,-0.10761+0.1123i,0.04066-0.14835i,-0.066613-0.25298i,0.027791+0.052172i,-0.015058-0.027892i,0.22704+0.11903i
0.037619-0.016328i,-0.043941+0.01864i,0.053335-0.022312i,-0.068983+0.028979i,0.10103-0.044165i,-0.21+0.10249i,-0.72019+0.45283i,0.095245-0.10745i,-0.0085942+0.1381i,0.14448+0.2327i,-0.047292-0.048038i,0.027307+0.025596i,-0.041096-0.25769i
-0.039432+0.018449i,0.046044-0.020966i,-0.055819+0.024899i,0.071988-0.031908i,-0.10479+0.047564i,0.21499-0.10653i,0.71387-0.44633i,-0.084056+0.098837i,-0.019894-0.11859i,-0.21249-0.19144i,0.064089+0.039277i,-0.03783-0.021363i,-0.17111+0.15878i
0.040969-0.020701i,-0.047816+0.023497i,0.057898-0.02779i,-0.074488+0.035278i,0.1079-0.051601i,-0.21908+0.11152i,-0.70886+0.43833i,0.075145-0.087569i,0.042283+0.091874i,0.26492+0.13225i,-0.076647-0.026093i,0.045172+0.014792i,0.19525+0.083832i
-0.041728+0.022824i,0.048728-0.025941i,-0.059013+0.030649i,0.075879-0.038697i,-0.10969+0.055807i,0.22154-0.11686i,0.70605-0.42962i,-0.069695+0.074787i,-0.056248-0.060472i,-0.29776-0.05978i,0.084327+0.0090842i,-0.049085-0.0054189i,-0.0025839-0.23726i
0.041334-0.024828i,-0.048382+0.028277i,0.058733-0.033418i,-0.075694+0.042054i,0.10965-0.059995i,-0.22176+0.12227i,-0.70616+0.4207i,0.068635-0.061419i,0.060092+0.026921i,0.30882-0.019753i,-0.087208+0.010341i,0.050378-0.006302i,-0.22161+0.15736i
-0.039754+0.02685i,0.046732-0.030621i,-0.056997+0.036184i,0.073849-0.045393i,-0.10767+0.06415i,0.21962-0.12762i,0.70937-0.41186i,-0.07226+0.048192i,-0.053237+0.0063636i,-0.29751+0.099156i,0.085545-0.030011i,-0.04991+0.018659i,0.25945+0.070584i
0.037308-0.02891i,-0.044103+0.032977i,0.054139-0.038927i,-0.070692+0.04866i,0.1041-0.06816i,-0.21548+0.13272i,-0.71528+0.40348i,0.080093-0.035873i,0.036429-0.036966i,0.26461-0.17122i,-0.079346+0.0476i,0.047668-0.029445i,-0.07385-0.21613i
-0.034895+0.011576i,0.040882-0.012502i,-0.050046+0.013575i,0.065878-0.014762i,-0.099767+0.015709i,0.22105-0.013036i,0.86379+0.083398i,-0.15811-0.058253i,0.12475+0.11669i,0.085881+0.22963i,-0.0006627-0.046316i,-0.0036688+0.022514i,0.17078-0.19059i
0.032461-0.011282i,-0.038157+0.012011i,0.046943-0.01282i,-0.062264+0.013635i,0.095426-0.014028i,-0.21559+0.010398i,-0.87112-0.08066i,0.16973+0.051504i,-0.1528-0.097652i,-0.14937-0.18077i,0.015427+0.033815i,-0.0048131-0.015278i,-0.23391-0.044921i
-0.030954+0.010226i,0.036436-0.010682i,-0.044943+0.011127i,0.059886-0.011439i,-0.092506+0.011088i,0.21183-0.006215i,0.87625+0.075878i,-0.17808-0.041626i,0.1734+0.071271i,0.19679+0.11578i,-0.026472-0.017647i,0.010719+0.0059115i,0.067197+0.22861i
0.030277-0.0083272i,-0.03564+0.008455i,0.043991-0.0084685i,-0.058721+0.0081864i,0.091033-0.0069677i,-0.20987+0.00066107i,-0.87896-0.069397i,0.18265+0.029336i,-0.18499-0.039684i,-0.22402-0.040196i,0.032843-0.00087295i,-0.013858+0.0051962i,0.16997-0.18707i
-0.030161+0.0057874i,0.035509-0.0055586i,-0.043839+0.0051052i,0.058539-0.0041856i,-0.090806+0.0020402i,0.20956+0.005785i,0.87931+0.061882i,-0.18334-0.015709i,0.18682+0.0055811i,0.22856-0.039565i,-0.033958+0.020134i,0.01439-0.016955i,-0.24757-0.031853i
0.030366-0.0030722i,-0.035799+0.0024866i,0.044242-0.0015684i,-0.059093+1.6226e-05i,0.091577+0.0030451i,-0.21066-0.012367i,-0.87754-0.054278i,0.18037+0.0021097i,-0.17902+0.027983i,-0.20976+0.11685i,0.029507-0.038453i,-0.012199+0.027855i,0.089861+0.20653i
-0.03083+0.00074886i,0.036435+0.00016049i,-0.045104-0.0015008i,0.060267+0.0036268i,-0.093199-0.0075192i,0.21298+0.018204i,0.87391+0.047658i,-0.17411+0.0099654i,0.16242-0.057852i,0.169-0.18537i,-0.019526+0.054431i,0.0068021-0.036766i,0.1506-0.15906i
0.031676+0.00074137i,-0.037522-0.0019071i,0.04651+0.0035833i,-0.062112-0.0061683i,0.095678+0.01073i,-0.21644-0.02253i,-0.86861-0.04298i,0.16502-0.019154i,-0.13837+0.081145i,-0.1097+0.23971i,0.0046746-0.067134i,0.0020149+0.043452i,-0.24233-0.070066i
-0.033082-0.0012542i,0.039221+0.0025801i,-0.048597-0.004469i,0.06473+0.0073497i,-0.099065-0.012351i,0.22102+0.024918i,0.86181+0.040837i,-0.15361+0.024523i,0.10867-0.09569i,0.037101-0.27554i,0.013599+0.075922i,-0.013475-0.048253i,0.10126+0.26135i
0.035071+0.00095264i,-0.041539-0.0023277i,0.051347+0.0042868i,-0.068072-0.0072721i,0.10326+0.012444i,-0.22654-0.025369i,-0.85387-0.041334i,0.14057-0.025748i,-0.075521+0.10036i,0.042281+0.28978i,-0.03328-0.080126i,0.025817+0.051222i,0.12747-0.23089i
-0.037382-0.00014458i,0.044194+0.0014614i,-0.054451-0.0033503i,0.071786+0.0062502i,-0.10785-0.011321i,0.23247+0.024187i,0.84546+0.044186i,-0.127+0.023054i,0.041672-0.095109i,-0.12157-0.28085i,0.052378+0.078979i,-0.037173-0.051614i,-0.21236+0.010242i
0.039518-0.00094617i,-0.046657-0.00022094i,0.05734+0.0019186i,-0.075253-0.0045664i,0.11214+0.0092953i,-0.23803-0.021724i,-0.83758-0.048985i,0.11434-0.016947i,-0.010265+0.080724i,0.19431+0.24908i,-0.069467-0.071988i,0.046583+0.048334i,0.062883+0.1848i
-0.040968+0.0023136i,0.048378-0.0013687i,-0.059417-4.0705e-05i,0.077812+0.0023017i,-0.11539-0.006491i,0.24234+0.01817i,0.83132+0.055435i,-0.1041+0.0079358i,-0.015561-0.058461i,-0.25487-0.19704i,0.083746+0.059494i,-0.054203-0.041002i,0.1813-0.16561i
0.041451-0.0041037i,-0.049045+0.0034379i,0.060327-0.0023922i,-0.079054+0.00062245i,0.11711+0.0028746i,-0.24479-0.013563i,-0.82746-0.06337i,0.097452+0.0035286i,0.033262+0.029892i,0.29858+0.12947i,-0.094624-0.042891i,0.06051+0.030626i,-0.28677-0.044681i
-0.041022+0.0063951i,0.048694-0.0060506i,-0.06008+0.0054234i,0.078955-0.0042189i,-0.11723+0.0015201i,0.24526+0.0080128i,0.82626+0.072535i,-0.09491-0.016851i,-0.04136+0.0029797i,-0.32174-0.05258i,0.10127+0.024234i,-0.065275-0.019188i,0.15461+0.23425i
0.039949-0.0089997i,-0.047589+0.0089974i,0.058941-0.0088151i,-0.077775+0.0082103i,0.116-0.0063569i,-0.24396-0.0019516i,-0.82754-0.082325i,0.096388+0.031031i,0.039502-0.037535i,0.32202-0.02689i,-0.10265-0.0054727i,0.067341+0.0084417i,0.082983-0.21063i
-0.029494-0.0042967i,0.034493+0.006741i,-0.042104-0.010843i,0.055154+0.018598i,-0.082781-0.036721i,0.18019+0.10712i,0.67767+0.56329i,-0.11275-0.14472i,0.064349+0.17471i,-0.023224+0.23141i,0.025003-0.030849i,-0.020845+0.0084591i,0.26189-0.014168i
0.026693+0.0035039i,-0.031328-0.0059988i,0.038467+0.010175i,-0.050877-0.018045i,0.077584+0.036354i,-0.17353-0.10712i,-0.68591-0.56388i,0.12672+0.14358i,-0.098457-0.16941i,-0.054286-0.21394i,-0.0071073+0.025648i,0.011068-0.0052949i,-0.14675-0.20281i
-0.02442-0.0037628i,0.028732+0.0064066i,-0.03545-0.010785i,0.047287+0.018938i,-0.073168-0.037675i,0.16779+0.10919i,0.69299+0.56175i,-0.13901-0.1383i,0.12887+0.15441i,0.12417+0.17492i,-0.0091005-0.015375i,-0.0024618-0.0011947i,-0.098803+0.22396i
0.022604+0.0051258i,-0.02666-0.0080075i,0.033045+0.012701i,-0.044427-0.021289i,0.06965+0.040666i,-0.1632-0.11324i,-0.69847-0.55708i,0.14877+0.12925i,-0.15316-0.13088i,-0.18041-0.11775i,0.022318+0.00099438i,-0.0048017+0.010388i,0.24001-0.033004i
-0.021109-0.0073392i,0.024997+0.010532i,-0.031161-0.015632i,0.042242+0.024777i,-0.067024-0.044962i,0.15984+0.11886i,0.70214+0.5504i,-0.15545-0.11727i,0.16955+0.10086i,0.21803+0.047297i,-0.031272+0.016105i,0.010219-0.020923i,-0.14318-0.17732i
0.019908+0.0099209i,-0.02372-0.013471i,0.029786+0.019038i,-0.040734-0.028817i,0.065318+0.049919i,-0.15778-0.1253i,-0.70385-0.54264i,0.15872+0.10364i,-0.1769-0.067102i,-0.23353+0.030613i,0.034814-0.034489i,-0.012721+0.031482i,-0.093908+0.19445i
-0.019158-0.012356i,0.022986+0.016274i,-0.029075-0.022321i,0.040057+0.032754i,-0.064688-0.054798i,0.15717+0.13169i,0.70342+0.53485i,-0.15834-0.089877i,0.1747+0.03283i,0.22541-0.10975i,-0.032292+0.052962i,0.011244-0.041497i,0.23817+0.0053921i
0.019123+0.014302i,-0.023057-0.018559i,0.029288+0.025049i,-0.040466-0.036086i,0.065378+0.059006i,-0.15826-0.13732i,-0.70065-0.52801i,0.15418+0.077418i,-0.16298-0.0012676i,-0.19445+0.18382i,0.02393-0.070498i,-0.0056344+0.05107i,-0.14962-0.23353i
-0.019989-0.015688i,0.024115+0.020219i,-0.030602-0.02707i,0.042129+0.038603i,-0.06754-0.062247i,0.16115+0.14175i,0.69547+0.52274i,-0.1463-0.06735i,0.14245-0.024843i,0.14363-0.24669i,-0.010843+0.085913i,-0.0030236-0.060153i,-0.081634+0.27319i
0.021684+0.016628i,-0.026081-0.021349i,0.032923+0.028452i,-0.044934-0.040334i,0.071034+0.064494i,-0.16567-0.14487i,-0.68817-0.51932i,0.13525+0.060298i,-0.11464+0.043519i,-0.077507+0.2928i,-0.0054173-0.097697i,0.013052+0.067839i,0.224-0.091293i
-0.023842-0.01723i,0.028569+0.022049i,-0.03584-0.029284i,0.048431+0.041352i,-0.075355-0.065794i,0.17121+0.14668i,0.67951+0.51785i,-0.1221-0.056572i,0.08204-0.053517i,0.0016137-0.31786i,0.023445+0.10431i,-0.023258-0.072533i,-0.1317-0.12961i
0.025967+0.017428i,-0.031045-0.022253i,0.038774+0.029499i,-0.051985-0.041586i,0.079787+0.066069i,-0.17695-0.14709i,-0.67051-0.51845i,0.10834+0.056402i,-0.04781+0.054131i,0.078056+0.31951i,-0.042206-0.1048i,0.03345+0.072983i,-0.11196+0.17063i
-0.027671-0.016991i,0.033083+0.02173i,-0.041249-0.028865i,0.055051+0.040805i,-0.083692-0.065087i,0.1821+0.14587i,0.66219+0.52135i,-0.095462-0.060017i,0.015233-0.045106i,-0.15523-0.2978i,0.060753+0.099285i,-0.043901-0.069214i,0.27572+0.0088517i
0.028839+0.015712i,-0.034534-0.020273i,0.04307+0.027178i,-0.057376-0.038808i,0.086735+0.062656i,-0.1862-0.14283i,-0.65523-0.5267i,0.084604+0.067468i,0.012854+0.026818i,0.22351+0.25501i,-0.077764-0.088806i,0.054303+0.062496i,-0.20634-0.23137i
-0.029573-0.013633i,0.035478+0.017933i,-0.044291-0.024499i,0.058975+0.035674i,-0.088871-0.058882i,0.18913+0.13813i,0.64993+0.53425i,-0.076432-0.078312i,-0.034335-0.00058493i,-0.27682-0.19509i,0.091465+0.074711i,-0.063285-0.054331i,-0.02179+0.27537i
