-0.00045049+0.0024657i,-6.3528e-05-0.0032925i,0.00094306+0.0045645i,-0.0025842-0.0067152i,0.0061775+0.011005i,-0.017545-0.023426i,0.6404+0.65422i,0.034567+0.025136i,-0.021704-0.005162i,-0.021353-0.3658i,-0.023136-0.030053i,0.025864+0.021658i,-0.037249-0.017417i
-0.0040338-0.0010211i,0.0044505+0.0017966i,-0.0050191-0.0030674i,0.0058855+0.0053651i,-0.0074968-0.010295i,0.012112+0.025754i,-0.26106-0.87519i,-0.010101-0.046372i,0.010205+0.032086i,-0.34346-0.18095i,-0.02273+0.014658i,0.018556-0.020554i,-0.020962+0.032486i
0.00051336+0.0099228i,-0.00048654-0.011315i,0.00039776+0.013299i,-0.00015488-0.016438i,-0.00054907+0.022394i,0.0033462-0.03925i,-0.18667+0.90637i,-0.015079+0.031454i,0.017308-0.015491i,-0.32048+0.21799i,-0.0075657+0.015014i,-0.0010908-0.01645i,0.011448+0.02544i
0.010334-0.0038079i,-0.011526+0.0047809i,0.013158-0.0062433i,-0.015619+0.0086619i,0.020034-0.01339i,-0.031804+0.02685i,0.6069-0.70314i,0.012862-0.024901i,0.00063666+0.0035759i,0.018229+0.36956i,0.014045+0.026924i,-0.020025-0.017244i,0.033361+0.010296i
-0.0036122-0.0034263i,0.0046742+0.0034327i,-0.0063026-0.0033064i,0.0090544+0.0028647i,-0.014561-0.0015295i,0.030637-0.0036349i,-0.85728+0.32381i,-0.034326+0.025996i,0.010954-0.023634i,0.32341+0.19055i,0.031243-0.011418i,-0.024062+0.019394i,0.022646-0.03322i
0.0033916-0.003041i,-0.004268+0.0031118i,0.005651-0.0031283i,-0.0080817+0.0030158i,0.013203-0.0025517i,-0.029146+0.00067914i,0.90738+0.10863i,0.046297+0.0093134i,-0.034039-0.0043778i,0.34137-0.19214i,-0.0022651-0.02316i,0.010663+0.02229i,-0.022109-0.028313i
-0.011019-0.0020862i,0.012408+0.002561i,-0.014337-0.0033118i,0.017292+0.0046423i,-0.022688-0.007489i,0.037314+0.016555i,-0.76038-0.52935i,-0.019239-0.029061i,0.0022662+0.025265i,-0.0045762-0.39145i,-0.011364-0.0090536i,0.017836+0.00043542i,-0.030722+0.0077238i
0.0031871+0.011692i,-0.0038163-0.013247i,0.0047436+0.015417i,-0.006247-0.01875i,0.009124+0.024829i,-0.017124-0.041183i,0.40928+0.8381i,0.011865+0.019573i,0.0024913+0.0025654i,-0.32712-0.19125i,-0.020217+0.0014575i,0.012694-0.012458i,-0.0089198+0.028407i
0.0050819-0.0031565i,-0.0055661+0.0041835i,0.0061662-0.0057857i,-0.0069413+0.0085455i,0.0080176-0.014186i,-0.0098229+0.031034i,0.045034-0.91683i,-0.01176-0.040473i,0.019753+0.01881i,-0.34205+0.17018i,-0.0018333+0.027496i,-0.0096988-0.024383i,0.024323+0.027119i
0.0037038+0.0010425i,-0.0035529-0.0016817i,0.0031705+0.0027387i,-0.0022794-0.0046747i,3.2613e-05+0.0089007i,0.0077534-0.022446i,-0.45694+0.78436i,-0.03114+0.044241i,0.023145-0.035618i,-0.028144+0.40084i,0.02308-0.00035568i,-0.027132+0.0099117i,0.037284-0.020537i
0.0031614-0.010524i,-0.0039628+0.011692i,0.0052097-0.013261i,-0.0073701+0.015561i,0.011862-0.019527i,-0.025698+0.029536i,0.78343-0.4893i,0.039301-0.0034503i,-0.029157-0.01182i,0.33841+0.21171i,0.0035366-0.0064486i,0.0027759+0.017227i,-0.007851-0.032742i
