0.0052151-0.0049831i,-0.0020334+0.0040546i,-0.0037923-0.0023245i,0.016151-0.0012806i,-0.05295+0.011427i,0.78932-0.1962i,0.12799-0.026894i,-0.070935-0.0017758i,-0.10709+0.35375i,-0.10518+0.088286i,0.122-0.082824i,0.17871-0.12076i,0.017578-0.00088926i
-0.005889+0.0054332i,0.0033739-0.0034423i,0.0013576-0.00017843i,-0.011636+0.0077094i,0.042892-0.029374i,-0.67936+0.44301i,-0.11626+0.065149i,0.070865-0.019367i,0.01607-0.36654i,0.086693-0.11205i,-0.10913+0.10752i,-0.15846+0.13358i,-0.028726+0.012102i
0.0058899-0.0075403i,-0.0043062+0.0048814i,0.0011716+3.3712e-05i,0.0059259-0.010442i,-0.028279+0.041021i,0.49615-0.63858i,0.09184-0.10004i,-0.06287+0.041904i,0.072609+0.35422i,-0.06015+0.13482i,0.087618-0.1344i,0.14336-0.13652i,0.029194-0.038281i
-0.0039243+0.010091i,0.0033253-0.0071426i,-0.0019889+0.001566i,-0.0013229+0.010485i,0.012551-0.046558i,-0.26154+0.76342i,-0.055064+0.12592i,0.045336-0.061222i,-0.151-0.32109i,0.023392-0.15115i,-0.053645+0.15689i,-0.14016+0.1376i,-0.0075612+0.066614i
0.00010871-0.011255i,-0.00043706+0.0082898i,0.00090271-0.0025935i,-0.0015716-0.0098788i,0.0024931+0.047667i,0.000953-0.80661i,0.0098643-0.1371i,-0.020304+0.071883i,0.21535+0.27398i,0.02081+0.15424i,0.0096079-0.16635i,0.14717-0.14805i,-0.034126-0.078808i
0.0040349+0.0098746i,-0.0028327-0.0070731i,0.00063219+0.0017047i,0.0039322+0.01005i,-0.016901-0.04574i,0.2594+0.76519i,0.036639+0.13045i,-0.0067391-0.070602i,-0.26625-0.21871i,-0.064949-0.14013i,0.036006+0.1575i,-0.15437+0.17489i,0.080378+0.063038i
-0.0065495-0.0063079i,0.0044801+0.0038544i,-0.00063226+0.00074913i,-0.007523-0.010693i,0.031384+0.040655i,-0.49398-0.64325i,-0.076429-0.10717i,0.029231+0.058198i,0.3062+0.15769i,0.10011+0.11057i,-0.072794-0.13202i,0.14901-0.21586i,-0.11122-0.022017i
0.0063282+0.002271i,-0.0034108-0.00043579i,-0.0019154-0.0029017i,0.013085+0.0099596i,-0.045651-0.030965i,0.67893+0.45166i,0.1035+0.07243i,-0.042632-0.039251i,-0.33633-0.090087i,-0.12034-0.072461i,0.093976+0.097935i,-0.12328+0.26025i,0.11428-0.028219i
-0.0038527+0.00023198i,0.00023476-0.0010974i,0.006199+0.0026288i,-0.019433-0.0058259i,0.057518+0.015352i,-0.79356-0.20843i,-0.11572-0.033123i,0.046319+0.019658i,0.35439+0.014464i,0.12532+0.034354i,-0.099739-0.065168i,0.078788-0.29504i,-0.091985+0.068034i
0.00089154-0.00017445i,0.0030695-0.0002538i,-0.0099625+0.00096579i,0.023899-0.0023004i,-0.063496+0.0056804i,0.82302-0.061568i,0.11459-0.0048718i,-0.04315-0.0036441i,-0.35548+0.068045i,-0.11964-0.0021478i,0.096256+0.040111i,-0.025203+0.31231i,0.059331-0.086051i
0.00063843-0.0018739i,-0.0044007+0.0037365i,0.010882-0.0068378i,-0.023877+0.012831i,0.060566-0.029087i,-0.76143+0.32834i,-0.10331+0.038338i,0.037073-0.00788i,0.33501-0.15217i,0.10924-0.02321i,-0.091109-0.022743i,-0.026146-0.3132i,-0.033589+0.08535i
0.00011552+0.004177i,0.0028602-0.0073262i,-0.0080227+0.01255i,0.018439-0.022642i,-0.047993+0.050143i,0.61425-0.56062i,0.084516-0.066404i,-0.030448+0.016662i,-0.29188+0.22971i,-0.097478+0.044668i,0.088221+0.0080765i,0.06932+0.30578i,0.022996-0.080017i
-0.0024613-0.0050093i,0.00072291+0.0090242i,0.0024171-0.015717i,-0.0089637+0.028725i,0.028008-0.064405i,-0.39833+0.73092i,-0.059158+0.088764i,0.022865-0.024756i,0.22977-0.2927i,0.083423-0.065518i,-0.085649+0.00917i,-0.10683-0.29856i,-0.021868+0.084485i
0.0047167+0.0037801i,-0.0044008-0.0080996i,0.0036154+0.015398i,-0.0016305-0.029761i,-0.0048789+0.069602i,0.13935-0.82004i,0.027319-0.10389i,-0.01219+0.032181i,-0.15574+0.33661i,-0.063417+0.08586i,0.077676-0.029931i,0.14672+0.29385i,0.015343-0.1029i
-0.0054012-0.0013499i,0.0064204+0.0054513i,-0.0079295-0.012509i,0.010544+0.026623i,-0.017053-0.066284i,0.13266+0.81963i,0.0098884+0.10866i,-0.0029615-0.03629i,0.076909-0.36138i,0.034813-0.10157i,-0.059677+0.049377i,-0.19573-0.28578i,0.0095108+0.12568i
0.0042394-0.00065252i,-0.0063395-0.00287i,0.0098105+0.0090316i,-0.016541-0.021513i,0.035119+0.056912i,-0.38803-0.73213i,-0.048759-0.099778i,0.021129+0.033314i,0.0023549+0.36981i,0.00079605+0.10653i,0.032414-0.059715i,0.25326+0.26408i,-0.053752-0.13565i
0.005143-0.0014368i,-0.0015782+0.0017291i,-0.0048223-0.0021986i,0.018124+0.0031329i,-0.056849-0.0059831i,0.81441+0.06958i,0.12417+0.013131i,-0.056854-0.01676i,-0.29105+0.20772i,-0.13043+0.042775i,0.13205-0.052588i,0.15089-0.17763i,0.023786+0.029197i
-0.0063332+0.00082959i,0.0030247+0.00021097i,0.0030003-0.0020244i,-0.015678+0.005658i,0.053001-0.015741i,-0.79003+0.20135i,-0.12487+0.024455i,0.061986+0.00038471i,0.22894-0.27119i,0.12235-0.070611i,-0.12616+0.076341i,-0.12164+0.19178i,-0.038258-0.028006i
0.0083348-0.0021378i,-0.0057502+4.6991e-05i,0.00087632+0.0036563i,0.0096665-0.011236i,-0.0414+0.032896i,0.67816-0.44736i,0.11442-0.062886i,-0.062542+0.019576i,-0.15328+0.31427i,-0.10866+0.10055i,0.11647-0.10476i,0.090202-0.19335i,0.055713+0.0098328i
-0.0092486+0.0054646i,0.0076311-0.0027327i,-0.0043893-0.0022493i,-0.0029401+0.012712i,0.025739-0.04333i,-0.49361+0.64159i,-0.090863+0.098318i,0.055047-0.041184i,0.072755-0.33497i,0.084704-0.13055i,-0.096347+0.13612i,-0.066976+0.18335i,-0.059467+0.024243i
0.0077116-0.0094119i,-0.0070955+0.0064188i,0.0056691-0.00079077i,-0.0021429-0.011321i,-0.0095101+0.047481i,0.2583-0.76485i,0.054531-0.12486i,-0.037918+0.05961i,0.0052613+0.336i,-0.048312+0.15431i,0.062053-0.16306i,0.05859-0.17094i,0.038634-0.059965i
-0.0038494+0.01198i,0.004167-0.0089925i,-0.0045521+0.0032545i,0.0050216+0.0092937i,-0.0055448-0.047222i,0.0024213+0.80645i,-0.0094652+0.13663i,0.013345-0.069334i,-0.077252-0.32235i,0.0025249-0.16444i,-0.016398+0.17644i,-0.062813+0.16799i,0.0036202+0.078498i
-0.00076133-0.01188i,-0.00043299+0.0090762i,0.0025627-0.0036739i,-0.0069496-0.0081711i,0.019563+0.044052i,-0.26241-0.76355i,-0.037097-0.1305i,0.013061+0.067146i,0.14355+0.29786i,0.044829+0.15668i,-0.031744-0.17091i,0.069146-0.18157i,-0.050958-0.068417i
