0.003853-0.02498i,-0.0006611+0.024079i,-0.0056056-0.021056i,0.020503+0.011758i,-0.076944+0.02854i,-0.72393+0.57565i,0.15427-0.14957i,-0.21306+0.19147i,-0.15393+0.0566i,0.036837+0.029272i,-0.088025+0.00163i,-0.073241+0.12799i,0.045563-0.12241i
0.0038295+0.02934i,-0.0073668-0.028461i,0.013892+0.025293i,-0.02868-0.015322i,0.082853-0.028406i,0.6722-0.63172i,-0.13262+0.16761i,0.18365-0.21839i,0.15302-0.070079i,-0.048984-0.030704i,0.10334+0.0013911i,0.052256-0.13509i,-0.0207+0.12983i
-0.013545-0.031667i,0.017514+0.03069i,-0.024382-0.027248i,0.03912+0.016482i,-0.090916+0.030662i,-0.6143+0.68182i,0.10719-0.18162i,-0.14922+0.24003i,-0.15276+0.085204i,0.063651+0.028571i,-0.12166-5.3072e-05i,-0.027873+0.13696i,-0.0078587-0.131i
0.024654+0.031041i,-0.029101-0.029802i,0.036354+0.025911i,-0.051058-0.014182i,0.10032-0.036409i,0.55137-0.72451i,-0.079039+0.19026i,0.11104-0.25483i,0.15228-0.10311i,-0.079654-0.021455i,0.1416-0.0072098i,0.0016827-0.13191i,0.038245+0.12408i
-0.03612-0.026803i,0.041037+0.025109i,-0.048653-0.020563i,0.063266+0.0076685i,-0.10978+0.046422i,-0.48505+0.75873i,0.049768-0.19257i,-0.070966+0.26168i,-0.15011+0.12451i,0.095154+0.0084107i,-0.16108+0.021427i,0.023949+0.11882i,-0.067746-0.10788i
0.046633+0.018709i,-0.05194-0.016363i,0.059821+0.01095i,-0.074205+0.0033149i,0.11766-0.060952i,0.41739-0.78397i,-0.021355+0.18821i,0.031292-0.26013i,0.14443-0.14947i,-0.10788+0.010755i,0.17756-0.042796i,-0.046156-0.097537i,0.093107+0.082316i
-0.054789-0.0070398i,0.060335+0.0038616i,-0.068303+0.002606i,0.082231-0.018417i,-0.12224+0.079604i,-0.35052+0.80048i,-0.0040991-0.17757i,0.0055712+0.25057i,-0.13328+0.17725i,0.11545-0.035322i,-0.18836+0.070509i,0.061963+0.068994i,-0.11098-0.048516i
0.059307-0.0073881i,-0.064877+0.011528i,0.072683-0.019184i,-0.08585+0.036654i,0.12196-0.10131i,0.28642-0.8092i,0.024682+0.16183i,-0.037407-0.23421i,0.11499-0.20626i,-0.11576+0.063635i,0.19112-0.10273i,-0.068742-0.03528i,0.11842+0.0089008i
-0.059238+0.023283i,0.064571-0.028443i,-0.071913+0.037341i,0.083963-0.056492i,-0.11565+0.12444i,-0.22666+0.81173i,-0.03896-0.14282i,0.062511+0.21304i,-0.088447+0.23422i,0.10731-0.093234i,-0.18418+0.13672i,0.064657-0.0005465i,-0.1134+0.033031i
0.05414-0.039031i,-0.058953+0.045183i,0.065513-0.055278i,-0.076066+0.076022i,0.10282-0.14694i,0.17212-0.81013i,0.046223+0.12285i,-0.079959-0.18951i,0.053411-0.25837i,-0.08957+0.12113i,0.16691-0.1692i,-0.049014+0.034789i,0.095185-0.073079i
-0.044178+0.052904i,0.048202-0.059927i,-0.053673+0.071074i,0.06237-0.093204i,-0.083704+0.16663i,-0.12286+0.80658i,-0.046626-0.10438i,0.089757+0.1663i,-0.010643+0.27584i,0.063082-0.14417i,-0.13989+0.19668i,0.022474-0.063572i,-0.064552+0.10686i
0.03014-0.063295i,-0.033151+0.070986i,0.037278-0.082943i,-0.043819+0.10615i,0.059337-0.1815i,0.078165-0.80316i,0.04121+0.089688i,-0.092867-0.1459i,-0.038067-0.28405i,-0.029522+0.15948i,0.10493-0.21598i,0.012939+0.083359i,0.023828-0.13037i
-0.013362+0.068954i,0.015209-0.077043i,-0.017818+0.089496i,0.021996-0.11338i,-0.031421+0.18999i,-0.03656+0.80149i,-0.03179-0.080568i,0.091085+0.1303i,0.090044+0.28106i,-0.0084668-0.16487i,-0.064909+0.22469i,-0.054018-0.091447i,0.02334+0.14059i
-0.0044373-0.069167i,0.0038144+0.077346i,-0.0027934-0.08994i,0.0010648+0.11407i,0.002137-0.19119i,-0.003912-0.80247i,0.020719+0.078045i,-0.0868-0.12067i,-0.14201-0.26587i,0.047568+0.15915i,0.023437-0.22146i,0.096741+0.08636i,-0.072392-0.13584i
0.021378+0.063868i,-0.021939-0.071828i,0.022464+0.084204i,-0.023145-0.10813i,0.026134+0.18503i,0.045423+0.80619i,-0.010583-0.082229i,0.082649+0.11721i,0.19044+0.23863i,-0.084198-0.14231i,0.015575+0.20629i,-0.13676-0.068083i,0.1184+0.11612i
-0.03567-0.05366i,0.037278+0.061123i,-0.039201-0.072958i,0.042129+0.096267i,-0.051124-0.17224i,-0.090027-0.81186i,0.0038374+0.092293i,-0.08115-0.11916i,-0.23202-0.20063i,0.11496+0.1156i,-0.048414-0.1805i,0.16995+0.038091i,-0.15671-0.08311i
0.0064672-0.021994i,-0.0031373+0.02147i,-0.0035146-0.019227i,0.019492+0.011793i,-0.080273+0.021711i,-0.78136+0.49205i,0.16714-0.13307i,-0.22339+0.17937i,-0.14423+0.066907i,0.027688+0.020978i,-0.085485-0.0023285i,-0.093986+0.1048i,0.065459-0.10392i
-0.00076535+0.026954i,-0.0028459-0.026477i,0.0097106+0.024102i,-0.025596-0.015961i,0.084454-0.02124i,0.73776-0.55307i,-0.14913+0.15281i,0.19752-0.20792i,0.13968-0.078666i,-0.036009-0.02431i,0.096911+0.0074029i,0.077713-0.11466i,-0.04564+0.11465i
-0.0070817-0.030841i,0.011068+0.030335i,-0.018239-0.027747i,0.034099+0.018828i,-0.090916+0.022024i,-0.6875+0.60975i,0.12709-0.16992i,-0.16635+0.23265i,-0.13608+0.090496i,0.047205+0.025773i,-0.11176-0.0099526i,-0.057523+0.12131i,0.021472-0.12135i
0.016873+0.032686i,-0.021312-0.032029i,0.028863+0.029096i,-0.044745-0.019274i,0.099387-0.025231i,0.63113-0.66056i,-0.10145+0.18297i,0.13049-0.25192i,0.13327-0.10364i,-0.060855-0.023823i,0.12948+0.0082695i,0.034095-0.12288i,0.0061846+0.12195i
-0.02797-0.031586i,0.032903+0.030615i,-0.040866-0.027161i,0.056772+0.016263i,-0.10906+0.031936i,-0.56975+0.70409i,0.073263-0.19066i,-0.091226+0.26424i,-0.13044+0.11923i,0.075811+0.017062i,-0.14875-0.00081942i,-0.0089816+0.1177i,-0.035511-0.11465i
0.039344+0.026897i,-0.044754-0.025421i,0.053099+0.021242i,-0.068961-0.0090662i,0.11865-0.04289i,0.505-0.73928i,-0.044111+0.19205i,0.050418-0.26854i,0.12617-0.138i,-0.090272-0.0045608i,0.1675-0.013407i,-0.015501-0.10469i,0.063849+0.098319i
-0.049691-0.018391i,0.055495+0.016215i,-0.064116-0.0111i,0.079783-0.0025585i,-0.12655+0.058326i,-0.43889+0.76567i,0.015961-0.18683i,-0.010342+0.26442i,-0.11868+0.16005i,0.10201-0.013873i,-0.18325+0.0346i,0.036535+0.083687i,-0.088007-0.072856i
0.05762+0.0063594i,-0.063661-0.0033063i,0.072374-0.0029298i,-0.087609+0.018245i,0.13104-0.077832i,0.37353-0.78347i,0.009105+0.1754i,-0.026597-0.2523i,0.10608-0.18466i,-0.10868+0.037528i,0.19335-0.061953i,-0.051195-0.055641i,0.10469+0.039403i
