0.066504+0.025809i,-0.077156-0.027791i,0.093828+0.0299i,-0.12841-0.03064i,0.68254-0.075722i,-0.096873-0.078135i,0.28467+0.13945i,0.5202+0.21532i,-0.07392-0.035193i,-0.073088+0.045952i,-0.034544+0.035711i,-0.014869-0.034002i,0.047265+0.039978i
-0.062789-0.035873i,0.073149+0.038836i,-0.089449-0.042213i,0.12354+0.044759i,-0.67791+0.054069i,0.089274+0.097999i,-0.27096-0.17358i,-0.50184-0.24609i,0.071919+0.02788i,0.077754-0.017749i,0.041027-0.042915i,0.0087436+0.049767i,-0.040223-0.06219i
0.057148+0.044693i,-0.067053-0.048567i,0.082786+0.053127i,-0.11614-0.057378i,0.67037-0.034042i,-0.078314-0.116i,0.25254+0.20521i,0.48317+0.27655i,-0.073125-0.021827i,-0.075835-0.0095187i,-0.050345+0.047581i,0.001864-0.062854i,0.027297+0.081329i
-0.049992-0.051902i,0.059302+0.056585i,-0.074296-0.062209i,0.10669+0.068017i,-0.66045+0.01618i,0.064552+0.13153i,-0.23007-0.23358i,-0.46377-0.30713i,0.076935+0.017825i,0.06793+0.034472i,0.061653-0.048969i,-0.016024+0.072189i,-0.0095604-0.096004i
0.041791+0.057261i,-0.050393-0.062626i,0.064507+0.069162i,-0.095756-0.076343i,0.64874-0.00086084i,-0.048654-0.14414i,0.20431+0.25811i,0.4431+0.33807i,-0.082586-0.016462i,-0.054906-0.055952i,-0.073949+0.046599i,0.032576-0.07699i,-0.011612+0.10517i
-0.033038-0.060664i,0.040849+0.066565i,-0.053979-0.073842i,0.083948+0.082186i,-0.6359-0.011708i,0.031344+0.15358i,-0.1761-0.27842i,-0.42057-0.3694i,0.089217+0.018092i,0.037826+0.073062i,0.086142-0.04028i,-0.050219+0.076814i,0.034649-0.10817i
0.024208+0.062131i,-0.03118-0.068414i,0.043262+0.076247i,-0.071857-0.085528i,0.62259+0.021485i,-0.013348-0.15976i,0.14631+0.29434i,0.39558+0.40099i,-0.095936-0.022835i,-0.017877-0.085196i,-0.097142+0.030118i,0.067602-0.071567i,-0.057889+0.10478i
-0.015733-0.061794i,0.021853+0.068302i,-0.032861-0.076506i,0.060037+0.08649i,-0.60941-0.028582i,-0.0046433+0.16277i,-0.11579-0.30589i,-0.3676-0.4325i,0.10188+0.030578i,-0.0037054+0.092042i,0.10593-0.016495i,-0.083418+0.061499i,0.079697-0.095208i
0.0079751+0.05987i,-0.013261-0.066456i,0.023209+0.074848i,-0.048967-0.08531i,0.59691+0.03324i,0.022018-0.16286i,0.085278+0.31325i,0.33619+0.46344i,-0.10625-0.041009i,0.025704-0.093565i,-0.11162+3.8063e-05i,0.096482-0.047173i,-0.098559+0.080037i
-0.0012133-0.056641i,0.005713+0.063167i,-0.014649-0.071583i,0.03903+0.082312i,-0.58551-0.035796i,-0.038263+0.16037i,-0.055448-0.31675i,-0.30105-0.49319i,0.10841+0.053645i,-0.046975+0.089988i,0.11352+0.018429i,-0.1058+0.029418i,0.11318-0.060205i
-0.0043605+0.052419i,0.00057444-0.05877i,0.0074269+0.067065i,-0.03051-0.077871i,0.57556+0.03665i,0.052985-0.15572i,0.026833+0.31681i,0.26201+0.52108i,-0.10782-0.067877i,0.066498-0.081747i,-0.11118-0.037944i,0.11063-0.0092608i,-0.12254+0.036919i
0.0086381-0.047529i,-0.0054747+0.053611i,-0.0016918-0.061665i,0.023583+0.072392i,-0.56725-0.036239i,-0.06591+0.14939i,0.0001594-0.31391i,-0.21908-0.54636i,0.10415+0.083014i,-0.083404+0.069457i,0.10437+0.057469i,-0.1105-0.012134i,0.12596-0.011575i
-0.011586+0.042283i,0.0089417-0.048029i,-0.0024945+0.055755i,-0.018333-0.066277i,0.56072+0.035003i,0.076881-0.14186i,-0.025249+0.30857i,0.17243+0.56832i,-0.097222-0.098323i,0.096999-0.05386i,-0.093127-0.075949i,0.10523+0.033541i,-0.12312-0.014325i
0.013231-0.036974i,-0.010997+0.042344i,0.005146-0.049684i,0.014755+0.059912i,-0.55596-0.03337i,-0.085849+0.1336i,0.048276-0.30131i,-0.12237-0.58624i,0.087022+0.11307i,-0.10677+0.035793i,0.077721+0.092371i,-0.094917-0.05374i,0.11404+0.03926i
-0.01365+0.031862i,0.011718-0.036845i,-0.0063385+0.043773i,-0.012779-0.053655i,0.55291+0.031738i,0.092857-0.12506i,-0.069189+0.29261i,0.069345+0.5995i,-0.073693-0.12654i,0.1124-0.016141i,-0.058642-0.10581i,0.079956+0.071576i,-0.099118-0.061773i
0.012954-0.02718i,-0.011222+0.031787i,0.0061976-0.038306i,0.012271+0.047824i,-0.55145-0.030465i,-0.098027+0.11665i,0.088027-0.28296i,-0.013915-0.60752i,0.057517+0.13808i,-0.11375-0.0041912i,0.03657+0.11546i,-0.060971-0.086014i,0.079055+0.08054i
