0.038916-0.037016i,-0.043957+0.040462i,0.051509-0.045264i,-0.064393+0.052804i,0.091964-0.06754i,-0.1916+0.11621i,-0.78185+0.32803i,0.15234-0.029541i,-0.20987+0.019463i,-0.17416+0.052541i,0.07169-0.042571i,-0.18931+0.063046i,0.013629-0.051762i
-0.036063+0.042922i,0.041008-0.046777i,-0.048456+0.05207i,0.061226-0.060222i,-0.088662+0.075767i,0.18809-0.12567i,0.78475-0.31859i,-0.15605+0.015613i,0.21502+0.0094928i,0.17366-0.038003i,-0.070118+0.042862i,0.18885-0.040548i,-0.015005+0.068532i
0.033133-0.047538i,-0.038002+0.051723i,0.045374-0.057418i,-0.058071+0.066079i,0.085433-0.082312i,-0.18475+0.1333i,-0.78731+0.31115i,0.15904-0.0038863i,-0.21767-0.036032i,-0.17032+0.020445i,0.067474-0.039652i,-0.18246+0.0141i,0.018562-0.078824i
-0.029869+0.050663i,0.034658-0.055087i,-0.041955+0.061078i,0.054584-0.070126i,-0.08189+0.086903i,0.18114-0.1388i,0.79004-0.30604i,-0.16191-0.005222i,0.21851+0.059489i,0.16329+0.00018729i,-0.062637+0.032631i,0.16877+0.015664i,-0.021687+0.081541i
0.02602-0.052302i,-0.030702+0.056874i,0.037895-0.063059i,-0.050429+0.072373i,0.077654-0.089553i,-0.17682+0.14219i,-0.79343+0.30326i,0.16525+0.011699i,-0.21828-0.079669i,-0.15175-0.023389i,0.054524-0.02219i,-0.14667-0.047234i,0.021719-0.077056i
-0.021427+0.052647i,0.025956-0.057292i,-0.032997+0.063584i,0.045383-0.073066i,-0.072475+0.090533i,0.17152-0.14377i,0.79783-0.30248i,-0.16946-0.015902i,0.21755+0.096811i,0.13521+0.048156i,-0.042404+0.0093477i,0.11571+0.078359i,-0.016626+0.067081i
0.016088-0.052017i,-0.020417+0.056687i,0.02725-0.063031i,-0.039427+0.072616i,0.06632-0.090292i,-0.16517+0.14403i,-0.8033+0.30314i,0.17466+0.018436i,-0.21653-0.11145i,-0.11366-0.073157i,0.026142+0.004465i,-0.076414-0.10639i,0.0055415-0.054218i
-0.010191+0.05078i,0.01428-0.055451i,-0.020861+0.061823i,0.032782-0.071484i,-0.059424+0.089336i,0.15803-0.14354i,0.80958-0.30463i,-0.18057-0.019986i,0.215+0.12423i,0.087674+0.09699i,-0.0063087-0.017722i,0.030397+0.12874i,0.010992+0.041311i
0.0040969-0.049252i,-0.0079283+0.053926i,0.01424-0.060328i,-0.025885+0.07007i,0.052261-0.088104i,-0.15062+0.14277i,-0.81611+0.3064i,0.18657+0.021132i,-0.21238-0.13566i,-0.05837-0.11844i,-0.01587+0.029135i,0.019752-0.14333i,-0.03111-0.030754i
0.0017213+0.047631i,0.0018688-0.052323i,-0.0079303+0.058774i,0.019324-0.068617i,-0.045467+0.086858i,0.14364-0.14201i,0.82212-0.30817i,-0.19184-0.022197i,0.20783+0.14597i,0.02724+0.13672i,0.038723-0.037926i,-0.070783+0.14902i,0.052035+0.023921i
-0.0067595-0.045951i,0.0033606+0.050675i,0.0025095-0.057192i,-0.013724+0.067157i,0.039722-0.085625i,-0.13781+0.14128i,-0.82679+0.30991i,0.19546+0.023168i,-0.20047-0.15501i,0.0041023-0.15155i,-0.060441+0.043981i,0.11925-0.1458i,-0.070709-0.02086i
0.010581+0.044086i,-0.007293-0.048844i,0.0015211+0.055426i,0.0096237-0.065514i,-0.035613+0.084206i,0.13379-0.14035i,0.82942-0.31189i,-0.19666-0.023697i,0.18956+0.16226i,-0.034187+0.16319i,0.079425-0.047834i,-0.16204+0.13477i,0.084496+0.020312i
-0.012897-0.041793i,0.0096212+0.046563i,-0.0038332-0.053186i,-0.007377+0.063363i,0.033519-0.082236i,-0.13199+0.1388i,-0.82956+0.31462i,0.19498+0.023199i,-0.17473-0.16692i,0.061935-0.17233i,-0.094579+0.050509i,0.19677-0.11788i,-0.091779-0.020063i
0.013617+0.038793i,-0.010252-0.043525i,0.0043299+0.050132i,0.007084-0.060328i,-0.033544+0.07929i,0.13252-0.13615i,0.82711-0.31864i,-0.19034-0.021006i,0.1561+0.16812i,-0.086798+0.17978i,0.1055-0.053231i,-0.22214+0.09757i,0.092331+0.017538i
-0.012857-0.034852i,0.009312+0.039477i,-0.0031524-0.045982i,-0.0085854+0.056093i,0.035506-0.075013i,-0.13515+0.13199i,-0.82233+0.32443i,0.18306+0.016551i,-0.13426-0.16514i,0.10879-0.18633i,-0.11248+0.057102i,0.23796-0.076266i,-0.08734-0.010489i
0.010899+0.029868i,-0.0071081-0.034301i,0.00063632+0.040605i,0.011511-0.050508i,-0.038991+0.069231i,0.13942-0.12612i,0.81577-0.33223i,-0.17382-0.0095303i,0.11016+0.15759i,-0.12836+0.19243i,0.11642-0.062801i,-0.24499+0.05594i,0.079109-0.0023877i
0.05322-0.010303i,-0.059268+0.010127i,0.06812-0.009499i,-0.082847+0.007793i,0.11357-0.0028441i,-0.22209-0.019029i,-0.82128-0.21958i,0.14064+0.073251i,-0.18325-0.11083i,-0.17394-0.047623i,0.082875-0.00074709i,-0.17959-0.067173i,0.041754-0.045403i
-0.053524+0.017109i,0.059689-0.017346i,-0.068694+0.017206i,0.083629-0.016098i,-0.11465+0.011925i,0.22364+0.0087768i,0.8194+0.22954i,-0.13691-0.087434i,0.17233+0.13833i,0.164+0.058517i,-0.08013+0.0029764i,0.16126+0.081417i,-0.051197+0.059627i
0.053114-0.022797i,-0.059376+0.023366i,0.068514-0.02362i,-0.083642+0.022997i,0.11496-0.019463i,-0.22443-0.00024487i,-0.81821-0.23755i,0.13367+0.099265i,-0.16051-0.16227i,-0.15028-0.070444i,0.074877-0.0027998i,-0.13688-0.095056i,0.059326-0.066955i
