-0.05589-0.0082814i,0.068132+0.009678i,-0.087243-0.011729i,0.12141+0.015133i,-0.2007-0.022361i,0.60017+0.055474i,0.56099+0.035271i,-0.18089-0.002012i,0.099415-0.0098034i,-0.056427+0.025153i,0.0039049-0.074231i,-0.27027-0.35254i,0.072637+0.083999i
0.030916+0.048004i,-0.038062-0.058211i,0.049264+0.074042i,-0.069385-0.10213i,0.11631+0.1668i,-0.3539-0.49013i,-0.33867-0.44561i,0.11328+0.13673i,-0.066786-0.067187i,0.04599+0.024089i,-0.033752+0.049777i,0.012863+0.45006i,-0.0034641-0.11422i
0.015633-0.055917i,-0.018506+0.068158i,0.022924-0.087185i,-0.030694+0.12103i,0.04841-0.19917i,-0.13614+0.59099i,-0.11633+0.54504i,0.031993-0.17147i,-0.011584+0.089368i,-0.0040118-0.042515i,0.040433-0.025299i,0.2574-0.37404i,-0.072565+0.091121i
-0.052801+0.026477i,0.063866-0.032567i,-0.081048+0.041993i,0.11159-0.058683i,-0.18206+0.097026i,0.53515-0.28846i,0.48812-0.26545i,-0.15124+0.082767i,0.076523-0.042214i,-0.032159+0.01893i,-0.039134+0.012913i,-0.43075+0.14877i,0.1164-0.021289i
0.055896+0.020839i,-0.06781-0.024948i,0.086267+0.031428i,-0.11898-0.043152i,0.19426+0.070694i,-0.57053-0.21095i,-0.51863-0.19883i,0.15944+0.065746i,-0.079239-0.038126i,0.031257+0.024278i,0.044677-0.0058733i,0.43432+0.13687i,-0.10293-0.062199i
-0.023115-0.05471i,0.028004+0.066195i,-0.035431-0.08413i,0.048309+0.11621i,-0.07724-0.1907i,0.21868+0.56619i,0.18596+0.52534i,-0.049806-0.16792i,0.016414+0.090833i,0.0080625-0.048514i,-0.056312-0.011654i,-0.26606-0.36686i,0.036633+0.11674i
-0.023387+0.053126i,0.028598-0.06425i,-0.03696+0.081501i,0.052349-0.11212i,-0.089114+0.18265i,0.27908-0.53551i,0.28013-0.48626i,-0.101+0.14937i,0.066906-0.074078i,-0.05549+0.028481i,0.057021+0.04662i,-0.0038705+0.4492i,0.049548-0.11388i
0.052655-0.018131i,-0.064209+0.021519i,0.082399-0.026558i,-0.11522+0.035077i,0.19208-0.053668i,-0.58238+0.1419i,-0.5565+0.10619i,0.18599-0.020024i,-0.10883-0.0043665i,0.070928+0.027522i,-0.028239-0.085776i,0.26503-0.35557i,-0.11207+0.055466i
-0.04596-0.025883i,0.055889+0.032247i,-0.071379-0.042505i,0.099042+0.061474i,-0.16313-0.10701i,0.48532+0.34331i,0.44969+0.35403i,-0.14242-0.13184i,0.074653+0.091238i,-0.034549-0.081476i,-0.03118+0.10109i,-0.41588+0.13074i,0.12088+0.02772i
0.0092802+0.049056i,-0.010883-0.060531i,0.013182+0.078716i,-0.016875-0.11174i,0.024399+0.1896i,-0.057255-0.58727i,-0.030053-0.57662i,-0.00364+0.20008i,0.017326-0.12423i,-0.036477+0.091679i,0.096964-0.069489i,0.40588+0.13141i,-0.075311-0.093853i
0.031195-0.036474i,-0.038802+0.045025i,0.051006-0.058463i,-0.073477+0.082639i,0.12724-0.13904i,-0.4057+0.42427i,-0.41566+0.40583i,0.15402-0.13431i,-0.10671+0.075774i,0.097164-0.043083i,-0.1304-0.0068005i,-0.2513-0.33106i,0.0024684+0.11345i
-0.047354-0.0018937i,0.058716+0.0021499i,-0.076756-0.0026883i,0.10959+0.0039578i,-0.18722-0.0077349i,0.58485+0.031023i,0.58099+0.043966i,-0.20526-0.024198i,0.13163+0.026269i,-0.10441-0.039488i,0.1028+0.094845i,0.020591+0.40277i,0.05999-0.084114i
0.028552+0.038492i,-0.035711-0.047266i,0.047007+0.061261i,-0.067417-0.086896i,0.11525+0.14796i,-0.35819-0.46332i,-0.35058-0.46584i,0.11985+0.1695i,-0.071554-0.11579i,0.047226+0.10531i,-0.01735-0.14666i,0.19949-0.33527i,-0.085512+0.028528i
0.011278-0.047543i,-0.013262+0.05865i,0.016488-0.076282i,-0.022545+0.10839i,0.037389-0.18439i,-0.11621+0.57437i,-0.11976+0.57054i,0.046995-0.20271i,-0.03727+0.13239i,0.043393-0.11041i,-0.087284+0.12763i,-0.33838+0.166i,0.071425+0.021729i
