0.084305-0.024697i,-0.08839+0.030443i,0.09293-0.040433i,-0.098094+0.065001i,0.11322-0.86224i,-0.10814-0.0020105i,0.11325-0.055117i,-0.090656+0.35762i,0.16127+0.12927i,-0.17863-0.051818i,0.32104-0.0041421i,-0.11704-0.043817i,0.1741+0.02908i
-0.0024565-0.073788i,0.0068685+0.076111i,-0.015146-0.077449i,0.036803+0.073955i,-0.76697+0.2367i,-0.02571+0.11927i,-0.028047-0.11497i,0.32952+0.099163i,0.16033-0.14738i,-0.080707+0.16233i,-0.02413-0.27503i,-0.12133+0.11669i,0.10526-0.16323i
-0.051396-0.015613i,0.051511+0.012822i,-0.049356-0.0070739i,0.037733-0.0087456i,0.54402+0.54433i,0.10994+0.034424i,-0.09643+0.012508i,0.086148-0.31167i,-0.10965-0.18086i,0.11803+0.10035i,-0.17781+0.036759i,0.096375+0.17413i,-0.1214-0.15711i
-0.024107+0.022909i,0.022826-0.020878i,-0.019854+0.015692i,0.011627+0.0019296i,0.23638-0.75203i,0.023684-0.084517i,0.014385+0.064077i,-0.31071-0.05932i,-0.18367+0.057221i,0.1034-0.057041i,0.04328+0.051941i,0.18716-0.06394i,-0.16867+0.062301i
-0.0039654+0.020366i,0.0075419-0.02017i,-0.014578+0.019677i,0.034796-0.019402i,-0.82053+0.10116i,-0.051319+0.0060648i,0.027974-0.034878i,-0.030117+0.32844i,0.0032145+0.16658i,0.0048192-0.08757i,-0.072943-0.044148i,-0.031162-0.15596i,0.00489+0.1357i
0.0053719+0.021659i,-0.0056741-0.025748i,0.0069611+0.032945i,-0.013635-0.051686i,0.40918+0.73379i,0.049031+0.020176i,-0.069748+0.0010279i,0.36099+0.010498i,0.13343+0.038887i,-0.056615-0.051555i,-0.038353+0.16748i,-0.088072+0.0096974i,0.067096+0.032713i
0.024997+0.016502i,-0.028362-0.016277i,0.033872+0.014111i,-0.047171-0.0025918i,0.50449-0.63555i,-0.00053785-0.095247i,0.014522+0.11025i,0.0094118-0.39966i,0.059187-0.09309i,-0.071566+0.019367i,0.21+0.023963i,0.0069191+0.001089i,0.039256+0.017788i
0.038911-0.012832i,-0.039195+0.014329i,0.03706-0.016562i,-0.023485+0.021362i,-0.74341-0.17235i,-0.13322+0.0063022i,0.14562-0.0090178i,-0.43355-0.030151i,-0.056775-0.054265i,-0.013121+0.060959i,-0.00024017-0.192i,-0.08249-0.023241i,0.095234-0.014018i
0.011594-0.055627i,-0.012726+0.056642i,0.01473-0.05531i,-0.019927+0.042688i,0.20271+0.71658i,-0.0025595+0.15321i,0.013253-0.16637i,-0.069576+0.45292i,-0.027972+0.034466i,0.024425+0.031252i,-0.11987+0.032849i,-0.052046+0.14176i,0.033264-0.14456i
-0.062457-0.041678i,0.064234+0.045628i,-0.064266-0.051956i,0.055356+0.066754i,0.56132-0.55169i,0.15005+0.021558i,-0.16704-0.045397i,0.45213+0.1194i,0.031827-0.01007i,0.030012+0.026521i,0.068787+0.012679i,0.16319+0.082219i,-0.15421-0.0861i
-0.069437+0.058336i,0.075762-0.060779i,-0.085595+0.062504i,0.10775-0.059425i,-0.80972-0.30486i,0.043907-0.1245i,-0.078239+0.14773i,0.16892-0.43119i,-0.047558-0.048658i,0.077146-0.010404i,-0.10315-0.099871i,0.10218-0.14377i,-0.12701+0.12453i
0.045353+0.087673i,-0.048322-0.095401i,0.051854+0.10718i,-0.055786-0.13301i,0.0092554+0.92848i,-0.082904-0.062757i,0.11378+0.10306i,-0.39545-0.2081i,-0.079242+0.073031i,0.021111-0.11363i,-0.11691+0.20048i,-0.091074-0.10381i,0.066698+0.14313i
0.09172-0.027939i,-0.099571+0.031315i,0.11134-0.036576i,-0.13646+0.047606i,0.88531-0.32827i,-0.073058+0.035449i,0.11384-0.074214i,-0.23013+0.35395i,0.078755+0.11418i,-0.12647-0.054698i,0.25769+0.1125i,-0.084866+0.020473i,0.12976+0.0013302i
-0.01161-0.080449i,0.015328+0.08712i,-0.022073-0.096913i,0.039185+0.11708i,-0.59889-0.68747i,-0.0062834+0.07271i,-0.03937-0.1086i,0.31702+0.23295i,0.14294-0.062415i,-0.079937+0.11256i,0.083493-0.26305i,-0.049187+0.049516i,0.060272-0.091164i
-0.056505+0.0015737i,0.060963-0.0056161i,-0.067249+0.013454i,0.079182-0.034686i,-0.37088+0.77618i,0.062949+0.031989i,-0.089776+0.018437i,0.21954-0.29369i,-0.027476-0.15659i,0.075606+0.08855i,-0.21691-0.032355i,0.007+0.10031i,-0.038697-0.094615i
0.0013657+0.025781i,-0.0057252-0.02749i,0.014141+0.029478i,-0.036873-0.031498i,0.83086-0.0063482i,0.035042-0.047966i,0.017193+0.063544i,-0.28947-0.19718i,-0.15-0.017736i,0.076595-0.025104i,0.032739+0.13112i,0.12066+0.030912i,-0.096296-0.012691i
0.066674-0.00081775i,-0.069257+0.005214i,0.071578-0.013654i,-0.072135+0.036319i,-0.043883-0.82256i,-0.092356-0.033942i,0.088845-0.019875i,-0.03173+0.31394i,0.15382+0.16766i,-0.16166-0.097262i,0.30344+0.06746i,-0.089078-0.0832i,0.1432+0.078771i
0.011301-0.04046i,-0.0079214+0.040591i,0.0010425-0.039014i,0.018062+0.030386i,-0.68563+0.39728i,-0.04024+0.082084i,-0.0097532-0.068373i,0.30465+0.016694i,0.18085-0.11542i,-0.1063+0.11987i,0.022083-0.23887i,-0.14004+0.052084i,0.13114-0.095035i
-0.010068-0.012573i,0.0077545+0.010125i,-0.0025642-0.0051698i,-0.013763-0.0081242i,0.67771+0.44081i,0.05984+0.023615i,-0.037348+0.020009i,-0.0092562-0.31524i,-0.064527-0.17298i,0.062165+0.094338i,-0.13368+0.032252i,0.011472+0.1609i,-0.033102-0.14597i
-0.0021723-0.016523i,0.00037315+0.020688i,0.0026711-0.028392i,-0.0089737+0.049368i,0.13207-0.83229i,-0.013833-0.033273i,0.049761+0.0054696i,-0.34519+0.035028i,-0.14457+0.013811i,0.062485-0.0034905i,0.086153+0.013037i,0.13959+0.019749i,-0.11734-0.023779i
-0.032081-0.017288i,0.037028+0.01879i,-0.045531-0.020226i,0.067079+0.019537i,-0.83042+0.18707i,-0.010705+0.064447i,-0.0175-0.092655i,0.049627+0.38824i,-0.02416+0.10215i,0.04104-0.017982i,-0.09474-0.12785i,0.030339-0.081421i,-0.057409+0.052149i
-0.04035+0.032201i,0.04185-0.03662i,-0.042143+0.043943i,0.035559-0.061744i,0.46284+0.67022i,0.11658-0.0014258i,-0.13821+0.024636i,0.43381-0.045394i,0.056765+0.040566i,0.027411-0.060454i,-0.14574+0.16538i,-0.0019156-0.014882i,-0.031541+0.056339i
0.016739+0.060314i,-0.019387-0.061971i,0.023731+0.061632i,-0.034081-0.051115i,0.37967-0.64985i,-0.00057974-0.1575i,0.014022+0.17461i,-0.020387-0.46987i,0.03303-0.020984i,-0.051159-0.060728i,0.18471+0.13183i,0.023677-0.077608i,0.020155+0.10984i
0.071398+0.01002i,-0.073219-0.010007i,0.072734+0.0098511i,-0.060788-0.0092712i,-0.71795-0.011891i,-0.17694-0.011241i,0.19215+0.010701i,-0.48653-0.021029i,-0.004997-0.0063135i,-0.071879+0.017917i,0.084986-0.15185i,-0.13636-0.074248i,0.16056+0.039883i
0.04062-0.070626i,-0.043513+0.072531i,0.047873-0.072347i,-0.057509+0.061652i,0.36491+0.65642i,-0.028494+0.17008i,0.041665-0.18621i,-0.069696+0.47916i,0.029326+0.013376i,-0.027861+0.057044i,-0.078522-0.012789i,-0.12079+0.16017i,0.10431-0.17019i
-0.058727-0.066671i,0.060646+0.072082i,-0.061182-0.080329i,0.054227+0.098647i,0.47541-0.68058i,0.13886+0.044292i,-0.15864-0.069467i,0.44977+0.11468i,0.0436-0.061479i,0.020062+0.071823i,0.069311-0.014906i,0.14521+0.14745i,-0.13788-0.15187i
-0.081254+0.039754i,0.088232-0.041711i,-0.098921+0.04337i,0.12271-0.042109i,-0.87652-0.20445i,0.052849-0.09138i,-0.086157+0.11705i,0.14664-0.40638i,-0.079368-0.086876i,0.101+0.028664i,-0.10514-0.14143i,0.1437-0.098435i,-0.16643+0.075279i
0.019701+0.080669i,-0.021857-0.08793i,0.025002+0.099126i,-0.030561-0.12416i,0.11197+0.91681i,-0.039578-0.051261i,0.0726+0.087473i,-0.36051-0.16039i,-0.13079+0.07679i,0.075244-0.10729i,-0.18438+0.17173i,-0.034843-0.10778i,0.0023141+0.14205i
0.065167-0.0047415i,-0.071395+0.0073662i,0.081098-0.012258i,-0.10296+0.024742i,0.79461-0.42132i,-0.040177-0.0038455i,0.073779-0.036942i,-0.15607+0.32406i,0.053486+0.16279i,-0.089273-0.10623i,0.20134+0.18485i,-0.047342-0.027208i,0.084679+0.059051i
0.00039191-0.038691i,0.0030009+0.042837i,-0.009719-0.049408i,0.028148+0.06435i,-0.67163-0.53314i,-0.028441+0.023417i,-0.019319-0.049717i,0.30625+0.13875i,0.17348-0.014868i,-0.1122+0.052086i,0.13919-0.19008i,-0.071052-0.022643i,0.091248-0.010096i
-0.0078728+0.0064261i,0.0093831-0.010805i,-0.011884+0.019163i,0.017565-0.041569i,-0.18118+0.82018i,0.0068402+0.028356i,-0.022881+0.02438i,0.11703-0.31132i,0.029575-0.15893i,0.0058247+0.090209i,-0.14348-0.054762i,-0.083897+0.08593i,0.060752-0.085847i
0.024078-0.019496i,-0.02947+0.020568i,0.038968-0.022194i,-0.06265+0.026294i,0.8407-0.19609i,0.0037071+0.0032528i,0.050999+0.001846i,-0.3375-0.10078i,-0.12184-0.068779i,0.044694+0.03722i,0.051168+0.07451i,0.069513+0.11971i,-0.045588-0.10783i
0.023548+0.0059317i,-0.02341-0.0021179i,0.022182-0.0055313i,-0.016711+0.026794i,-0.2289-0.7821i,-0.043207-0.042039i,0.0291-0.0089964i,0.064203+0.29272i,0.10515+0.17586i,-0.10006-0.11106i,0.23388+0.10522i,-0.010804-0.084918i,0.055623+0.086852i
-0.00010081+0.0053252i,0.0036205-0.0079251i,-0.010318+0.012966i,0.027929-0.02715i,-0.61668+0.56101i,-0.020715+0.027968i,-0.026804-0.0042314i,0.31397-0.083759i,0.15854-0.063012i,-0.086732+0.055309i,0.021237-0.1758i,-0.10374-0.036242i,0.096569+0.00017026i
0.028235+0.016098i,-0.032726-0.019418i,0.040603+0.024868i,-0.060963-0.036871i,0.78894+0.35679i,0.012591-0.021342i,0.01799+0.063147i,-0.099892-0.35335i,-0.023747-0.12187i,0.011126+0.042834i,-0.093096+0.074028i,-0.065756+0.091383i,0.047034-0.073248i
0.038062-0.039228i,-0.041258+0.044589i,0.045325-0.053691i,-0.050696+0.076441i,0.046892-0.86993i,-0.075241-0.0025609i,0.11011-0.03045i,-0.40286+0.10441i,-0.074392-0.0032186i,-0.01076+0.02127i,0.16045+0.0052898i,0.051031+0.068229i,-0.021539-0.070679i
-0.035355-0.060038i,0.040339+0.063106i,-0.048751-0.065788i,0.069575+0.064548i,-0.78828+0.26087i,-0.0012673+0.12877i,-0.028967-0.15659i,0.092406+0.45117i,-0.011968+0.028104i,0.03409+0.060745i,-0.068137-0.21792i,0.040652+0.0062902i,-0.062322-0.045087i
-0.075726+0.017666i,0.078561-0.021085i,-0.079963+0.027001i,0.073149-0.041898i,0.51517+0.55867i,0.16931+0.0087636i,-0.19098+0.01373i,0.4865-0.063943i,-0.0045678+0.0020169i,0.09372-0.025388i,-0.23113+0.11268i,0.06471+0.011609i,-0.10784+0.02232i
-0.0088854+0.080425i,0.0078739-0.08286i,-0.0057522+0.083199i,-0.00032883-0.072701i,0.22371-0.67357i,0.021612-0.18709i,-0.010562+0.20447i,-0.024211-0.49992i,-0.021351+0.014335i,0.00024216-0.10006i,0.12214+0.19398i,0.075289-0.10824i,-0.038825+0.14831i
0.072652+0.036793i,-0.074548-0.038486i,0.074178+0.040656i,-0.062481-0.044587i,-0.70896+0.15413i,-0.17805-0.034077i,0.19365+0.036144i,-0.48814-0.018002i,-0.0019899+0.048668i,-0.077093-0.033132i,0.11219-0.099344i,-0.12572-0.13241i,0.15451+0.10294i
0.05823-0.054746i,-0.062312+0.056093i,0.068367-0.055532i,-0.081581+0.045373i,0.50465+0.61398i,-0.040297+0.14495i,0.054783-0.16166i,-0.053167+0.45471i,0.069351+0.040284i,-0.061727+0.030279i,-0.054191-0.0029879i,-0.16541+0.11411i,0.14959-0.12494i
-0.032148-0.067363i,0.03314+0.072992i,-0.033056-0.081726i,0.02703+0.10173i,0.40261-0.76347i,0.096589+0.03654i,-0.11731-0.060534i,0.40899+0.074107i,0.090198-0.075107i,-0.02809+0.076322i,0.10853+0.00010512i,0.079095+0.16254i,-0.069158-0.16262i
-0.061913+0.011667i,0.067937-0.012705i,-0.077629+0.013843i,0.10069-0.013998i,-0.88408-0.10864i,0.022614-0.045246i,-0.051619+0.072457i,0.078166-0.36343i,-0.062418-0.13815i,0.071946+0.082346i,-0.049797-0.19549i,0.12165-0.032808i,-0.13545+0.0046897i
-0.00057525+0.043531i,-0.0010414-0.048757i,0.0040889+0.057555i,-0.01156-0.079451i,0.21922+0.84605i,-0.0034136-0.0019439i,0.038713+0.030807i,-0.33006-0.067794i,-0.17115+0.033347i,0.1178-0.04953i,-0.23605+0.085618i,0.010188-0.051101i,-0.04851+0.073353i
0.01707+0.00079086i,-0.020541+0.0019355i,0.026854-0.0073561i,-0.043686+0.022118i,0.65819-0.52525i,0.019529-0.019234i,0.0044225-0.024527i,-0.049593+0.31739i,-0.0053467+0.18021i,-0.015239-0.12464i,0.10221+0.21884i,0.032365-0.037256i,-0.0079042+0.074139i
-0.011602+0.010789i,0.015811-0.0095955i,-0.023693+0.0067702i,0.04448+0.0021664i,-0.75614-0.3563i,-0.017909-0.03508i,-0.033255+0.019505i,0.32839+0.032369i,0.16252+0.044235i,-0.10036-0.0215i,0.14596-0.099364i,-0.041136-0.10796i,0.064328+0.086457i
0.033132+0.033892i,-0.034205-0.039664i,0.035106+0.049623i,-0.035324-0.074065i,0.0036415+0.87046i,-0.039004-0.0063998i,0.033336+0.062502i,0.024812-0.3599i,0.073741-0.12205i,-0.050635+0.05039i,-0.080994-0.032723i,-0.15619+0.021772i,0.14046-0.021927i
0.060613-0.044388i,-0.067654+0.04721i,0.07883-0.051296i,-0.10378+0.060168i,0.84601-0.35594i,-0.0472+0.02819i,0.10466-0.03181i,-0.40331-0.033239i,-0.068764-0.086655i,-0.013042+0.064222i,0.095495+0.053419i,-0.013775+0.164i,0.040204-0.15433i
-0.023065-0.012731i,0.026045+0.017144i,-0.030928-0.025224i,0.042437+0.046111i,-0.41119-0.75193i,0.010788-0.0155i,-0.035454-0.034044i,0.16407+0.30648i,0.05018+0.14057i,-0.031693-0.078728i,0.15357+0.092731i,0.072528-0.032024i,-0.038503+0.034336i
-0.0331+0.039562i,0.037764-0.044244i,-0.045324+0.051975i,0.062341-0.070627i,-0.55796+0.69551i,0.028069-0.011935i,-0.074178+0.04416i,0.35224-0.16618i,0.099162-0.028206i,-0.02813+0.0098621i,-0.020544-0.13043i,-0.020098-0.098862i,0.0098514+0.067747i
0.043822+0.055628i,-0.049272-0.060317i,0.058414+0.066771i,-0.080916-0.077907i,0.8518+0.2773i,-0.0062489-0.080917i,0.042287+0.12123i,-0.15619-0.40398i,-0.018394-0.051301i,-0.0014454-0.028536i,-0.092211+0.13457i,-0.094817-0.0036052i,0.074343+0.027043i
0.074356-0.034961i,-0.078748+0.040087i,0.08361-0.048922i,-0.08779+0.07126i,-0.042909-0.85217i,-0.13123-0.0056715i,0.16435-0.02951i,-0.45057+0.13331i,-0.0088499+0.022062i,-0.077751+1.0245e-05i,0.22431+0.046858i,-0.032418+0.060567i,0.067743-0.055462i
-0.01551-0.08403i,0.019299+0.087768i,-0.026186-0.090733i,0.044386+0.088006i,-0.69759+0.34849i,-0.020753+0.16767i,-0.0088677-0.19337i,0.10051+0.48171i,0.036571-0.01727i,-0.012542+0.10725i,0.0024625-0.26922i,0.0036217+0.057971i,-0.014369-0.10152i
-0.081634-0.0090792i,0.08441+0.0073291i,-0.08544-0.0036172i,0.076994-0.0072698i,0.58712+0.41761i,0.18209+0.03402i,-0.2014-0.013792i,0.4906-0.063989i,-0.019931-0.055741i,0.10919+0.03091i,-0.25812+0.034625i,0.072627+0.062241i,-0.11835-0.039293i
-0.031825+0.06749i,0.032355-0.069155i,-0.032377+0.068538i,0.030578-0.056557i,0.064731-0.71684i,0.039996-0.17179i,-0.031381+0.18686i,-0.031549-0.47595i,-0.071489-0.0020349i,0.04755-0.082515i,0.060767+0.19237i,0.11992-0.07206i,-0.091184+0.11232i
0.045429+0.046241i,-0.046084-0.048789i,0.044455+0.052338i,-0.031805-0.059687i,-0.71319+0.29588i,-0.14023-0.034637i,0.15407+0.037834i,-0.44261+0.010162i,-0.043201+0.07635i,-0.033662-0.055115i,0.086149-0.074836i,-0.056939-0.15333i,0.084051+0.1259i
0.048307-0.021775i,-0.052188+0.021802i,0.058363-0.02009i,-0.073233+0.0098818i,0.59881+0.57389i,-0.017087+0.096051i,0.030271-0.11209i,0.0035884+0.4003i,0.066019+0.092892i,-0.049048-0.024951i,-0.077242+0.036506i,-0.15199+0.032843i,0.13155-0.041146i
-0.0034101-0.037625i,0.0034313+0.041913i,-0.0027208-0.049344i,-0.0022063+0.068775i,0.32021-0.79056i,0.050576-0.0095743i,-0.072124-0.010158i,0.36083-0.011005i,0.13819-0.040894i,-0.0783+0.029249i,0.1474+0.06898i,0.0083667+0.11419i,0.003814-0.1037i
-0.017341-0.004332i,0.021088+0.0035816i,-0.028242-0.0022557i,0.048538-0.00014818i,-0.83879+0.0057048i,-0.038998-0.01467i,0.017063+0.044296i,-0.027236-0.33476i,-0.0059688-0.16755i,0.00013726+0.11286i,0.051279-0.22101i,0.047689+0.0078321i,-0.047101-0.037059i
0.00083507-0.0070381i,-0.0029882+0.0045876i,0.0071034+0.00091193i,-0.017686-0.018346i,0.34761+0.7374i,0.0039323+0.063396i,0.035097-0.043659i,-0.32862+0.044402i,-0.17385-0.030772i,0.12014+0.030832i,-0.24054-0.025889i,0.009855+0.032219i,-0.047833-0.02518i
-0.029319-0.017708i,0.028584+0.021699i,-0.025701-0.028878i,0.014205+0.047063i,0.50673-0.64493i,0.075789-0.0021261i,-0.061874-0.046034i,0.054258+0.34354i,-0.060742+0.15595i,0.055472-0.098562i,0.0044476+0.20167i,0.1066+0.0036546i,-0.095097+0.031685i
-0.042123+0.044179i,0.048015-0.045177i,-0.05794+0.045298i,0.081755-0.041633i,-0.84379-0.18939i,0.018315-0.071855i,-0.073661+0.065974i,0.37532-0.050374i,0.11864+0.077046i,-0.053653-0.067142i,0.11332-0.035838i,0.029114-0.15753i,-0.0079822+0.14429i
0.048259+0.068042i,-0.050637-0.075473i,0.053536+0.087241i,-0.058114-0.11361i,0.1575+0.90695i,-0.050987-0.05147i,0.053588+0.11061i,-0.029665-0.41559i,0.07616-0.0714i,-0.062467-0.0034083i,-0.063512+0.0043976i,-0.17245-0.058857i,0.159+0.060416i
