-0.021178+0.012424i,0.018497-0.0093449i,-0.012687+0.0027582i,-0.0017423+0.01375i,0.056968-0.078487i,0.56895-0.67683i,-0.13193+0.15853i,0.10129-0.13925i,-0.09112+0.20298i,0.11256+0.30647i,-0.10515-0.03641i,0.10653+0.13497i,-0.13644+0.1686i
0.043055-0.014805i,-0.040643+0.017265i,0.034018-0.02127i,-0.015173+0.029233i,-0.063836-0.054961i,-0.88411-0.20777i,0.23729+0.017776i,-0.21369+0.003482i,0.27937-0.035475i,0.18005-0.14642i,0.11126+0.050381i,-0.27687-0.10758i,0.070632-0.040583i
-0.030055+0.0041617i,0.031868-0.0094218i,-0.033513+0.01945i,0.033977-0.042616i,-0.026419+0.12844i,0.1735+0.84059i,-0.085648-0.1678i,0.097526+0.13196i,-0.15359-0.17385i,-0.15688-0.21863i,-0.05186+0.0093758i,0.20375-0.052909i,0.0082443-0.11254i
0.003973+0.013402i,-0.009244-0.011744i,0.01876+0.0077531i,-0.039727+0.0029843i,0.11454-0.046996i,0.71155-0.47877i,-0.13395+0.12087i,0.098897-0.11127i,-0.12234+0.16849i,-0.14529+0.26684i,0.002413-0.036017i,0.019267+0.13764i,0.0013542+0.16575i
0.004803-0.032673i,-0.00099471+0.03763i,-0.0066276-0.045565i,0.02499+0.061259i,-0.095516-0.11263i,-0.72126-0.42715i,0.16014+0.044401i,-0.13881-0.016275i,0.20365+0.019155i,0.28538+0.095608i,0.0092429-0.037624i,-0.16952-0.012749i,-0.073155-0.11207i
-0.0041222+0.044247i,0.0059821-0.051866i,-0.0089105+0.064506i,0.01444-0.09053i,-0.031199+0.17927i,-0.13123+0.78229i,0.011866-0.10873i,0.0024097+0.070905i,-0.018996-0.12207i,-0.028582-0.39563i,-0.022763+0.13642i,0.13999-0.20463i,0.068558+0.033879i
0.019548-0.030584i,-0.026053+0.033668i,0.03739-0.038149i,-0.061765+0.046139i,0.14766-0.069995i,0.7993-0.16892i,-0.13874-0.0014166i,0.10317+0.01166i,-0.15226+0.0089019i,-0.31256+0.22055i,0.061387-0.12479i,-0.01546+0.25692i,0.073889+0.0093886i
-0.043086-0.010526i,0.048492+0.01493i,-0.057056-0.023094i,0.074005+0.041624i,-0.13029-0.10974i,-0.47399-0.65896i,0.050797+0.12612i,-0.028684-0.099902i,0.068107+0.1423i,0.28808+0.22152i,-0.084096-0.014208i,-0.056917-0.0475i,-0.22374-0.022039i
0.038763+0.046872i,-0.038276-0.054089i,0.035776+0.065861i,-0.027383-0.089713i,-0.010094+0.16997i,-0.44835+0.69317i,0.13633-0.08735i,-0.12483+0.052413i,0.15542-0.097042i,0.072941-0.3692i,0.051821+0.14046i,0.017208-0.22431i,0.20055+0.028113i
-0.00015012-0.042069i,-0.0048342+0.044704i,0.014512-0.047493i,-0.037255+0.050017i,0.12288-0.049244i,0.85573+0.11816i,-0.17992-0.081887i,0.1493+0.08987i,-0.21062-0.11105i,-0.28954+0.056081i,0.0018216-0.12694i,0.077244+0.28037i,-0.0061954-0.040485i
-0.03222+0.005452i,0.035491-0.0016653i,-0.040565-0.0063669i,0.050394+0.026467i,-0.08237-0.10538i,-0.25557-0.81616i,0.017205+0.18356i,-0.0017373-0.15828i,0.0098051+0.22294i,0.083111+0.26986i,-0.018079+0.018937i,-0.11839-0.084014i,-0.16395+0.069112i
0.02611+0.014334i,-0.023871-0.018708i,0.018428+0.026544i,-0.0038203-0.043783i,-0.055598+0.10544i,-0.64826+0.57744i,0.16681-0.10066i,-0.14952+0.072697i,0.20676-0.096179i,0.23359-0.16075i,0.0089237+0.035574i,0.03625-0.1281i,0.15626-0.10844i
-0.0035885+0.0052592i,-0.0006999-0.006734i,0.0093239+0.0097752i,-0.03009-0.01739i,0.10942+0.047846i,0.80225+0.31615i,-0.1728-0.069592i,0.14273+0.065582i,-0.18895-0.11378i,-0.1853-0.216i,-0.039279+0.010355i,0.13208+0.13637i,-0.034361+0.10827i
0.0065345-0.026804i,-0.0069654+0.032976i,0.0072646-0.043989i,-0.0070665+0.068265i,0.0042594-0.15574i,-0.044823-0.82198i,0.016701+0.14265i,-0.01155-0.10812i,-0.012164+0.16098i,-0.19388+0.30942i,0.10803-0.049433i,-0.24345+0.015347i,-0.026572-0.012453i
-0.032007+0.0049778i,0.038572-0.0080093i,-0.049643+0.013389i,0.072799-0.024978i,-0.15285+0.065187i,-0.72221+0.36682i,0.11114-0.060542i,-0.079177+0.034959i,0.13369-0.019746i,0.38324+0.046979i,-0.11861-0.011814i,0.16603-0.10749i,-0.030377-0.14259i
0.034495+0.045258i,-0.040573-0.050391i,0.050657+0.058646i,-0.071351-0.075345i,0.14134+0.13224i,0.60866+0.49142i,-0.079599-0.058346i,0.042401+0.04098i,-0.046689-0.10121i,-0.088147-0.39035i,0.012922+0.11052i,0.063456+0.024172i,0.092827+0.21811i
-0.018624-0.00049387i,0.013937+0.00017449i,-0.004375+0.00011873i,-0.018585-1.8623e-05i,0.10505-0.0033288i,0.8715-0.062569i,-0.19073+0.026289i,0.14713-0.040421i,-0.15426+0.11051i,0.0068959+0.37681i,-0.081028-0.11807i,0.011692+0.19384i,-0.21535+0.028229i
0.047083+0.014039i,-0.04765-0.0098204i,0.046523+0.0012631i,-0.039984+0.019215i,0.0051656-0.096134i,-0.46684-0.77026i,0.1619+0.16507i,-0.16394-0.12324i,0.2409+0.11178i,0.25301-0.13789i,0.047982+0.14747i,-0.14559-0.28419i,0.071122+0.039575i
-0.032089-0.022477i,0.037991+0.020261i,-0.047462-0.01463i,0.065996-0.00091933i,-0.12507+0.06542i,-0.4749+0.70723i,0.041685-0.18063i,0.0027626+0.16345i,-0.048522-0.2281i,-0.11743-0.23694i,-0.011438-0.038661i,0.16796+0.096026i,0.099302-0.10007i
-0.010072+0.021467i,0.0052534-0.024981i,0.004226+0.030177i,-0.026561-0.039355i,0.11024+0.065264i,0.83882+0.17084i,-0.18053+0.0072042i,0.14593-0.035324i,-0.18821+0.09153i,-0.20421+0.22885i,-0.0044156-0.051562i,-0.042736+0.13523i,-0.12735+0.12235i
0.038841-0.020554i,-0.040766+0.027116i,0.042439-0.038633i,-0.042664+0.063499i,0.033417-0.15114i,-0.20531-0.81141i,0.10196+0.13762i,-0.11601-0.095835i,0.18663+0.11843i,0.2336+0.14591i,0.028383+0.0098612i,-0.13566-0.14079i,0.025892-0.10621i
-0.040448+0.018217i,0.04793-0.021476i,-0.059985+0.027288i,0.083844-0.04024i,-0.16145+0.087876i,-0.6462+0.45658i,0.070617-0.082903i,-0.024208+0.072153i,0.016082-0.13631i,0.11195-0.35995i,-0.082859+0.085402i,0.22908-0.060329i,0.034693+0.044737i
0.028112+0.0016745i,-0.034349-0.0051287i,0.044846+0.011354i,-0.066748-0.02497i,0.14231+0.0729i,0.68306+0.44792i,-0.10678-0.080296i,0.077202+0.051309i,-0.13205-0.035346i,-0.38272+0.093539i,0.11909-0.074399i,-0.1607+0.19268i,0.042939+0.063179i
-0.01161-0.036691i,0.01113+0.043666i,-0.0098414-0.055555i,0.0064188+0.080715i,0.0065669-0.16862i,0.13334-0.79823i,-0.03185+0.12381i,0.017267-0.087826i,0.017105+0.13811i,0.19688+0.32308i,-0.068669-0.061033i,-0.019802-0.069323i,-0.15248-0.15961i
-0.008189+0.052821i,0.014043-0.056714i,-0.024687+0.062093i,0.048309-0.071217i,-0.13315+0.097538i,-0.80768+0.16504i,0.15094+0.020576i,-0.11273-0.027591i,0.14734-0.01312i,0.22687-0.34942i,-0.044161+0.16646i,0.15913-0.18133i,0.12664+0.15388i
0.023252-0.026483i,-0.027925+0.024233i,0.035768-0.018535i,-0.052154+0.0029395i,0.10897+0.06097i,0.51566+0.69541i,-0.081088-0.17625i,0.061452+0.15217i,-0.11371-0.18322i,-0.34571-0.035624i,0.10612-0.11933i,-0.13158+0.27891i,0.042362-0.04006i
-0.022327-0.015602i,0.021214+0.020242i,-0.018061-0.02903i,0.0091111+0.049445i,0.027832-0.12618i,0.40687-0.75371i,-0.10681+0.14758i,0.089684-0.12272i,-0.096004+0.18699i,0.023859+0.30972i,-0.059272-0.013981i,-0.019317-0.12236i,-0.19342-0.062312i
0.011883+0.026276i,-0.0074314-0.027151i,-0.0016979+0.027903i,0.023904-0.028184i,-0.1091+0.025973i,-0.87121-0.065695i,0.19471+0.039486i,-0.16361-0.036808i,0.22277+0.025692i,0.27901-0.12381i,-0.01232+0.080095i,0.10431-0.11721i,0.19276+0.045633i
-0.01152-0.0028259i,0.010363-0.0011801i,-0.0075789+0.0094278i,9.6978e-05-0.029675i,0.030514+0.10824i,0.33435+0.80399i,-0.085555-0.17669i,0.077798+0.15016i,-0.11133-0.20771i,-0.13647-0.22478i,-0.00398-0.044679i,-0.001739+0.21638i,-0.071963+0.034886i
