0.0034399-0.021452i,-0.0049658+0.026681i,0.0075547-0.034783i,-0.012504+0.04885i,0.024171-0.078793i,-0.069402+0.18332i,-0.40005+0.80865i,0.097358-0.13094i,-0.11938+0.05513i,-0.082018-0.11795i,-0.0051391+0.077191i,0.035496-0.077791i,-0.25746+0.17634i
-0.0077952-0.032811i,0.010445+0.038342i,-0.014796-0.046498i,0.022841+0.05997i,-0.041196-0.087293i,0.11017+0.17877i,0.58836+0.66736i,-0.13099-0.084661i,0.14193+0.017918i,0.072408-0.051828i,0.016535+0.010695i,-0.047047+0.012952i,0.2722-0.11942i
-0.037415+0.021362i,0.044234-0.0241i,-0.05437+0.027876i,0.07122-0.033603i,-0.10555+0.044034i,0.22059-0.0746i,0.84053-0.17313i,-0.10687-0.011342i,0.010785+0.070627i,-0.10759+0.089597i,0.03228-0.0053369i,0.0058983-0.022291i,-0.24061+0.12413i
-0.00084517+0.01231i,0.0016811-0.016698i,-0.0031133+0.023835i,0.0058439-0.036874i,-0.012172+0.06617i,0.035921-0.17431i,0.20043-0.90282i,-0.042139+0.18952i,0.029404-0.1805i,-0.035771-0.049589i,0.038534-0.037308i,-0.058527+0.058248i,0.28593-0.14934i
0.021543+0.032085i,-0.026328-0.037128i,0.033666+0.044426i,-0.046272-0.056199i,0.072806+0.079393i,-0.16433-0.1544i,-0.69479-0.51691i,0.10346+0.045047i,-0.022445+0.037151i,0.14378+0.10518i,-0.08295-0.020049i,0.089569-0.0090869i,-0.31259+0.10086i
0.025241-0.022328i,-0.030375+0.025774i,0.038224-0.030764i,-0.051741+0.038839i,0.080522-0.054859i,-0.18224+0.10735i,-0.80591+0.37079i,0.14632-0.039379i,-0.13534-0.0021985i,-0.097522-0.026475i,0.0271-0.0039158i,-0.042085+0.022109i,0.27422-0.10255i
-0.0003905-0.024834i,0.00022601+0.030695i,3.5226e-05-0.039746i,-0.00045825+0.055407i,0.0011572-0.088629i,-0.0022194+0.20422i,0.0102+0.89021i,-0.015624-0.14168i,0.058153+0.056465i,0.13583-0.12927i,-0.062152+0.080747i,0.07208-0.076622i,-0.3026+0.13812i
-0.021553-0.012636i,0.026734+0.014965i,-0.034766-0.018524i,0.048725+0.02468i,-0.078478-0.037944i,0.18248+0.085786i,0.80541+0.39028i,-0.13049-0.078506i,0.053434+0.0949i,-0.12769+0.1087i,0.086275-0.035036i,-0.097178+0.033694i,0.32869-0.092359i
-0.033413+0.016736i,0.039049-0.020097i,-0.047346+0.025272i,0.061018-0.034274i,-0.088666+0.053698i,0.18095-0.1235i,0.67111-0.56537i,-0.084151+0.11042i,0.018468-0.11832i,-0.039985-0.10486i,-0.00075405+0.026235i,0.035734-0.024044i,-0.28313+0.075918i
0.022419+0.028298i,-0.025244-0.034386i,0.029108+0.043664i,-0.034907-0.0595i,0.04531+0.092629i,-0.075206-0.20634i,-0.16261-0.85896i,-0.015878+0.12622i,0.074328-0.032117i,0.077341+0.14373i,0.0085326-0.076259i,-0.048725+0.065863i,0.29942-0.10443i
0.010003+0.010209i,-0.014164-0.011836i,0.021021+0.014217i,-0.033708-0.018119i,0.062532+0.025985i,-0.16992-0.05227i,-0.90579-0.19169i,0.19495+0.024611i,-0.18761-0.0097471i,-0.039946-0.00117i,-0.052105+0.0053456i,0.087231-0.012808i,-0.33524+0.054755i
