-0.025516+0.037862i,0.02983-0.045429i,-0.035997+0.056548i,0.045597-0.074381i,-0.062782+0.10735i,0.10327-0.18762i,-0.33016+0.65118i,-0.22617+0.50302i,0.072115-0.19677i,-0.029216+0.13864i,0.083068-0.018372i,-0.016024+0.073247i,-0.016843-0.085532i
0.023471-0.039467i,-0.027399+0.047257i,0.033005-0.058683i,-0.041716+0.076977i,0.057287-0.11074i,-0.093925+0.19282i,0.29913-0.66632i,0.20412-0.51219i,-0.065146+0.19945i,0.028329-0.14094i,-0.049391+0.00063128i,0.0055229-0.065745i,0.028434+0.072202i
-0.02108+0.041181i,0.024586-0.0492i,-0.029586+0.060938i,0.03735-0.079692i,-0.051222+0.11423i,0.083866-0.19802i,-0.26685+0.68056i,-0.18238+0.51961i,0.059014-0.20066i,-0.028915+0.14076i,0.013436+0.0079418i,0.003767+0.059033i,-0.036753-0.058379i
0.018416-0.042954i,-0.021472+0.051204i,0.025829-0.063254i,-0.032599+0.082461i,0.044704-0.11774i,-0.073237+0.20313i,0.23356-0.6938i,0.1608-0.52534i,-0.053422+0.20053i,0.030297-0.13817i,0.021512-0.0064827i,-0.011303-0.053656i,0.04138+0.045056i
-0.015564+0.044722i,0.018149-0.0532i,-0.021839+0.065554i,0.027582-0.085196i,-0.037874+0.12118i,0.06221-0.20803i,-0.19951+0.70588i,-0.13918+0.52955i,0.048032-0.19925i,-0.031746+0.13349i,-0.052229-0.004793i,0.016657+0.049987i,-0.04214-0.033142i
0.012612-0.046414i,-0.014716+0.055108i,0.017726-0.067748i,-0.022423+0.087795i,0.030875-0.12442i,-0.050961+0.21258i,0.16494-0.7166i,0.11734-0.53241i,-0.042505+0.1971i,0.032555-0.12723i,0.075891+0.024627i,-0.019558-0.048217i,0.039118+0.023404i
-0.0096468+0.047952i,0.011268-0.056841i,-0.013595+0.069739i,0.017243-0.090149i,-0.023847+0.12735i,0.039658-0.21663i,-0.13012+0.72578i,-0.09509+0.53416i,0.036533-0.19442i,-0.032113+0.12004i,-0.090368-0.05086i,0.019924+0.048348i,-0.032663-0.016424i
0.0067411-0.049261i,-0.0078851+0.058315i,0.009537-0.07143i,-0.012146+0.092144i,0.016912-0.12981i,-0.02845+0.22002i,0.095267-0.7332i,0.072289-0.53503i,-0.02987+0.1916i,0.029969-0.11268i,0.094459+0.080675i,-0.017884-0.050211i,0.023368+0.012574i
-0.0039534+0.050267i,0.0046329-0.059448i,-0.0056246+0.07273i,0.0072126-0.093676i,-0.010164+0.1317i,0.017455-0.22259i,-0.060559+0.73867i,-0.048851+0.53528i,0.022357-0.18898i,-0.025865+0.10591i,-0.08802-0.1109i,0.013775+0.053499i,-0.012039-0.011999i
0.0013229-0.050911i,-0.0015543+0.060173i,0.0019063-0.073562i,-0.0024993+0.094657i,0.003669-0.13291i,-0.0067523+0.22423i,0.026138-0.74203i,0.024749-0.53511i,-0.013927+0.18691i,0.019764-0.10046i,0.071996+0.13833i,-0.0081213-0.057807i,-0.00036066+0.014626i
0.0011308+0.051149i,-0.0013288-0.060442i,0.0015933+0.073871i,-0.001966-0.095022i,0.00254+0.13336i,-0.0036148-0.22483i,0.0079048+0.74315i,-2.404e-05+0.53467i,0.0046139-0.18563i,-0.011841+0.09691i,-0.048329-0.1601i,0.0016036+0.062681i,0.01277-0.020174i
-0.0034062-0.050959i,0.0040144+0.060229i,-0.0048721-0.073628i,0.0061808+0.094738i,-0.0084595-0.13301i,0.013639+0.22434i,-0.041521-0.74196i,-0.025229-0.53406i,0.005462+0.18532i,0.0024574-0.095654i,0.019771+0.17397i,0.0049984-0.067662i,-0.024106+0.028189i
0.0055162+0.050344i,-0.0065171-0.059536i,0.0079461+0.072835i,-0.010163-0.093806i,0.01411+0.13187i,-0.023342-0.22278i,0.0747+0.73846i,0.050866+0.5333i,-0.016111-0.186i,0.0078877+0.096857i,0.010397-0.17853i,-0.010868+0.072331i,0.03334-0.038075i
-0.0074837-0.04933i,0.0088622+0.058396i,-0.010844-0.071528i,0.013946+0.092266i,-0.01953-0.12997i,0.032765+0.22018i,-0.10745-0.73271i,-0.076711-0.53232i,0.027099+0.1876i,-0.018614-0.10042i,-0.038696+0.17338i,0.015219-0.076344i,-0.039575+0.04914i
0.0093369+0.047973i,-0.011081-0.056866i,0.013601+0.069772i,-0.017569-0.090194i,0.024765+0.1274i,-0.04196-0.21665i,0.13981+0.72486i,0.10257+0.53097i,-0.038175-0.1899i,0.029127+0.10601i,0.061803-0.15914i,-0.017371+0.079449i,0.042109-0.060637i
-0.011104-0.046348i,0.013205+0.055032i,-0.016253-0.067662i,0.021074+0.087698i,-0.029862-0.1243i,0.05098+0.21235i,-0.17179-0.71508i,-0.12827-0.52904i,0.049099+0.1926i,-0.038886-0.11304i,-0.076902+0.13738i,0.016804-0.081501i,-0.040498+0.071814i
-0.029792+0.035267i,0.034953-0.042367i,-0.042357+0.052806i,0.053927-0.069563i,-0.074721+0.10056i,0.1239-0.17608i,-0.40039+0.61226i,-0.27847+0.47373i,0.090927-0.18532i,-0.038771+0.12931i,0.11234-0.034346i,-0.02849+0.074858i,-0.0046476-0.088949i
